identifier,dbms,schema,operator,type,killed,time
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCNullifier,NORMAL,true,1066
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCNullifier,NORMAL,true,1014
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCNullifier,NORMAL,true,1019
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCNullifier,NORMAL,true,1009
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCNullifier,NORMAL,true,1018
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCNullifier,NORMAL,true,1013
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCNullifier,NORMAL,true,1026
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCNullifier,NORMAL,true,1022
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1013
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1016
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1025
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1009
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1018
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1021
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1003
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1028
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1007
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1024
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,998
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1017
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1042
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1011
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1025
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1002
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1009
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1024
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1052
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1027
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1015
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1028
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1026
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1015
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1026
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1045
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1010
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1021
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1019
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1023
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1012
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1034
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1019
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1022
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1043
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1035
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1027
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1032
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1045
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1034
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1022
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1035
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1033
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1021
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1023
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1024
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1019
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1021
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1029
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1026
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1017
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1024
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1026
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1017
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1024
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1023
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1014
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1045
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1030
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1025
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1017
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1027
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1027
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1015
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1031
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1020
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1020
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1018
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1027
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,989
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1012
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1021
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1021
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1019
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1029
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1026
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1012
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1020
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1027
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1020
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1014
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1022
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1022
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1011
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1021
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1031
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1011
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1024
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1024
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1018
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1012
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1022
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1016
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1017
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1025
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1022
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1008
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1068
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1019
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1013
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1011
xpuq7zpzocevh7ht5yjd,HyperSQL,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1016
