dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,168972,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,41630,1205159,1054,1456515,2704368
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,167228,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1407,mutantTiming,true,41528,1200119,1124,1482441,2725223
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,3,NA,100.0,165209,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1407,mutantTiming,true,40801,1180427,1107,1446002,2668348
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,4,NA,100.0,194628,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1407,mutantTiming,true,51111,1185636,1130,1482380,2720269
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,5,NA,100.0,176591,1458,AllOperatorsNoFKANormalisedWithClassifiers,1355,1407,mutantTiming,true,44927,1194563,1063,1418630,2659194
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,6,NA,100.0,191151,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1407,mutantTiming,true,45549,1185922,1092,1457522,2690097
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,7,NA,100.0,168780,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1407,mutantTiming,true,42489,1192225,1307,1426752,2662784
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,8,NA,100.0,169339,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,42785,1178686,1066,1420693,2643242
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,9,NA,100.0,157830,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,37927,1177919,1058,1428399,2645313
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,10,NA,100.0,175191,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1407,mutantTiming,true,45446,1217126,1144,1478921,2742648
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,11,NA,100.0,195034,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,51278,1189530,1089,1455312,2697220
