dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
HyperSQL,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1140,18,AllOperatorsNoFKANormalisedWithClassifiers,10,11,mutantTiming,true,2607,251,54,212,3288
HyperSQL,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,3404,40,AllOperatorsNoFKANormalisedWithClassifiers,20,23,mutantTiming,true,1195,151,51,618,2029
HyperSQL,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1295,31,AllOperatorsNoFKANormalisedWithClassifiers,25,28,mutantTiming,true,754,123,65,399,1353
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,1,NA,99.25373134328358,204839,266,AllOperatorsNoFKANormalisedWithClassifiers,209,224,mutantTiming,true,4754,4109,239,21598,30713
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,86433,72,AllOperatorsNoFKANormalisedWithClassifiers,79,84,mutantTiming,true,10370,308,67,1362,12118
HyperSQL,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,855,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,610,101,53,454,1229
HyperSQL,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,3444,77,AllOperatorsNoFKANormalisedWithClassifiers,51,56,mutantTiming,true,1185,391,77,1362,3027
HyperSQL,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,17461,120,AllOperatorsNoFKANormalisedWithClassifiers,82,91,mutantTiming,true,2758,703,124,3590,7188
HyperSQL,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,9313,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,1517,1363,189,5913,8997
HyperSQL,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1568,35,AllOperatorsNoFKANormalisedWithClassifiers,42,44,mutantTiming,true,879,135,26,464,1514
HyperSQL,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,6555,103,AllOperatorsNoFKANormalisedWithClassifiers,110,112,mutantTiming,true,1815,556,86,2450,4919
HyperSQL,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,1,NA,96.96969696969697,231900,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,23342,252,78,1051,24736
HyperSQL,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,8106,53,AllOperatorsNoFKANormalisedWithClassifiers,95,98,mutantTiming,true,2284,383,71,1624,4373
HyperSQL,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,296,16,AllOperatorsNoFKANormalisedWithClassifiers,17,18,mutantTiming,true,647,76,16,175,924
HyperSQL,parsedcasestudy.Iso3166,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,210,9,AllOperatorsNoFKANormalisedWithClassifiers,9,10,mutantTiming,true,547,58,12,81,708
HyperSQL,parsedcasestudy.IsoFlav_R2Repaired,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,7600,177,AllOperatorsNoFKANormalisedWithClassifiers,216,216,mutantTiming,true,1304,1798,133,6260,9509
HyperSQL,parsedcasestudy.JWhoisServer,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,10891,152,AllOperatorsNoFKANormalisedWithClassifiers,177,184,mutantTiming,true,2187,1981,132,6301,10619
HyperSQL,parsedcasestudy.MozillaExtensions,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,14137,226,AllOperatorsNoFKANormalisedWithClassifiers,358,360,mutantTiming,true,2091,5297,170,14836,22406
HyperSQL,parsedcasestudy.MozillaPermissions,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,709,32,AllOperatorsNoFKANormalisedWithClassifiers,29,30,mutantTiming,true,656,102,25,320,1114
HyperSQL,parsedcasestudy.NistDML181,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1193,37,AllOperatorsNoFKANormalisedWithClassifiers,18,20,mutantTiming,true,723,90,41,345,1216
HyperSQL,parsedcasestudy.NistDML182,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,17315,176,AllOperatorsNoFKANormalisedWithClassifiers,81,96,mutantTiming,true,2724,1595,90,2866,7288
HyperSQL,parsedcasestudy.NistDML183,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,246,34,AllOperatorsNoFKANormalisedWithClassifiers,20,20,mutantTiming,true,622,92,38,285,1051
HyperSQL,parsedcasestudy.NistWeather,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,4199,52,AllOperatorsNoFKANormalisedWithClassifiers,31,34,mutantTiming,true,1394,153,49,694,2301
HyperSQL,parsedcasestudy.NistXTS748,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,162,16,AllOperatorsNoFKANormalisedWithClassifiers,17,18,mutantTiming,true,529,82,16,158,796
HyperSQL,parsedcasestudy.NistXTS749,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1513,37,AllOperatorsNoFKANormalisedWithClassifiers,21,25,mutantTiming,true,1005,129,47,421,1615
HyperSQL,parsedcasestudy.Person,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,3104,19,AllOperatorsNoFKANormalisedWithClassifiers,20,22,mutantTiming,true,1357,102,22,248,1739
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,1,NA,97.87234042553192,105288,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,5254,245,62,912,6486
HyperSQL,parsedcasestudy.RiskIt,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,51649,245,AllOperatorsNoFKANormalisedWithClassifiers,187,199,mutantTiming,true,4665,4135,248,14069,23131
HyperSQL,parsedcasestudy.StackOverflow,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,5201,171,AllOperatorsNoFKANormalisedWithClassifiers,129,129,mutantTiming,true,1185,615,134,4368,6316
HyperSQL,parsedcasestudy.StudentResidence,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1427,30,AllOperatorsNoFKANormalisedWithClassifiers,35,38,mutantTiming,true,822,137,39,482,1491
HyperSQL,parsedcasestudy.UnixUsage,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,14462,147,AllOperatorsNoFKANormalisedWithClassifiers,86,94,mutantTiming,true,2826,766,160,4068,7831
HyperSQL,parsedcasestudy.Usda,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,9564,247,AllOperatorsNoFKANormalisedWithClassifiers,201,201,mutantTiming,true,1329,2420,239,10755,14756
HyperSQL,parsedcasestudy.WordNet,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,2659,127,AllOperatorsNoFKANormalisedWithClassifiers,84,101,mutantTiming,true,1017,625,106,2833,4592
HyperSQL,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,2735,18,AllOperatorsNoFKANormalisedWithClassifiers,10,11,mutantTiming,true,1100,66,24,151,1352
HyperSQL,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,4321,40,AllOperatorsNoFKANormalisedWithClassifiers,20,23,mutantTiming,true,1327,109,55,542,2044
HyperSQL,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,1347,31,AllOperatorsNoFKANormalisedWithClassifiers,25,28,mutantTiming,true,737,136,35,422,1340
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,2,NA,99.25373134328358,204995,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4527,3979,292,22522,31331
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,2,NA,98.61111111111111,149148,71,AllOperatorsNoFKANormalisedWithClassifiers,79,84,mutantTiming,true,17150,311,78,1347,18897
HyperSQL,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,1146,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,609,102,34,428,1183
HyperSQL,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,3393,77,AllOperatorsNoFKANormalisedWithClassifiers,51,56,mutantTiming,true,1076,311,80,1543,3022
HyperSQL,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,26244,120,AllOperatorsNoFKANormalisedWithClassifiers,82,91,mutantTiming,true,3467,813,125,3463,7878
HyperSQL,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,9188,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,1586,1321,172,6004,9098
HyperSQL,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,1416,35,AllOperatorsNoFKANormalisedWithClassifiers,42,44,mutantTiming,true,765,168,31,421,1398
