identifier,dbms,schema,operator,type,killed,time
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCNullifier,NORMAL,true,44
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCNullifier,NORMAL,true,35
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,36
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,33
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,37
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,36
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,false,35
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,28
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,26
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,24
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,false,26
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,22
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,21
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,23
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,29
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,23
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,26
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,FKCColumnPairE,NORMAL,true,28
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,FKCColumnPairE,NORMAL,true,27
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,FKCColumnPairE,NORMAL,true,22
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,FKCColumnPairE,NORMAL,true,21
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnA,NORMAL,true,20
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnA,NORMAL,true,18
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnA,NORMAL,true,15
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnA,NORMAL,true,17
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnA,NORMAL,true,19
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnA,NORMAL,true,14
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnA,NORMAL,true,14
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnR,NORMAL,true,14
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnE,NORMAL,true,17
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnE,NORMAL,true,20
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnE,NORMAL,true,16
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnE,NORMAL,true,13
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnE,NORMAL,true,19
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnE,NORMAL,true,21
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,PKCColumnE,NORMAL,true,19
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCA,NORMAL,true,28
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCA,NORMAL,true,15
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCA,NORMAL,true,14
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCA,NORMAL,true,12
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCA,NORMAL,true,16
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCA,NORMAL,true,11
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCA,NORMAL,true,17
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCA,NORMAL,true,14
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCA,NORMAL,true,10
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCR,EQUIVALENT,false,12
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCR,EQUIVALENT,false,14
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCR,EQUIVALENT,false,12
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,NNCR,NORMAL,true,12
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,15
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,11
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,17
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,16
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,11
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,12
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,15
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,9
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,9
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,9
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,9
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,13
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,DUPLICATE,true,14
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,10
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,9
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnA,NORMAL,true,7
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnR,NORMAL,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnR,NORMAL,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnR,NORMAL,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,DUPLICATE,true,7
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,7
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,DUPLICATE,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,7
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,7
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,7
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,7
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,7
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,8
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,7
lhptjne0jyp2c1ifw3lk,HyperSQL,BrowserCookies,UCColumnE,NORMAL,true,7
bixaid54oaxlmj6ois1c,HyperSQL,Flights,CCNullifier,NORMAL,true,67
bixaid54oaxlmj6ois1c,HyperSQL,Flights,CCInExpressionRHSListExpressionElementR,NORMAL,true,36
