dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,86433,72,AllOperatorsNoFKANormalisedWithClassifiers,79,84,mutantTiming,true,9872,380,67,1440,11770,0
HyperSQL,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,1,NA,96.96969696969697,231900,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,23294,221,76,1267,24870,19536
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,2,NA,98.61111111111111,149148,71,AllOperatorsNoFKANormalisedWithClassifiers,79,84,mutantTiming,true,16462,354,58,1400,18284,10046
HyperSQL,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,2,NA,96.96969696969697,212847,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,20874,209,77,1266,22440,18997
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,3,NA,98.61111111111111,122032,71,AllOperatorsNoFKANormalisedWithClassifiers,77,84,mutantTiming,true,14793,364,77,1616,16866,10849
HyperSQL,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,3,NA,96.96969696969697,230157,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,21656,223,79,1086,23056,18433
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,4,NA,97.22222222222221,206921,70,AllOperatorsNoFKANormalisedWithClassifiers,77,84,mutantTiming,true,22709,413,63,1405,24604,21051
HyperSQL,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,4,NA,96.96969696969697,229922,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,22448,193,75,1199,23925,18964
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,5,NA,98.61111111111111,177609,71,AllOperatorsNoFKANormalisedWithClassifiers,78,84,mutantTiming,true,19948,356,76,1452,21845,10868
HyperSQL,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,5,NA,96.96969696969697,220417,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,21576,214,64,1179,23046,18914
