identifier,dbms,schema,operator,type,killed,time
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,CCNullifier,NORMAL,true,168
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,CCNullifier,NORMAL,true,144
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,130
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,116
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,112
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,111
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,112
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,113
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,108
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,106
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,111
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,107
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,103
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,100
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,101
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,105
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,103
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,103
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,100
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,100
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,DUPLICATE,true,109
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,97
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,92
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,88
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,87
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,88
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,DUPLICATE,true,97
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,93
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,false,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,94
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,94
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnR,NORMAL,true,96
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnR,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnR,NORMAL,true,95
hwyzntea2hxmoalzkbsm,HyperSQL,BookTown,PKCColumnR,NORMAL,true,99
