dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,1,NA,99.25373134328358,204839,266,AllOperatorsNoFKANormalisedWithClassifiers,209,224,mutantTiming,true,4646,3941,282,21990,30872,3172
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,1,NA,97.87234042553192,105288,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,5474,239,59,880,6664,3672
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,2,NA,99.25373134328358,204995,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4750,3865,262,22279,31168,3286
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,2,NA,97.87234042553192,106790,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,5558,225,65,997,6855,3376
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,3,NA,99.25373134328358,204196,266,AllOperatorsNoFKANormalisedWithClassifiers,209,224,mutantTiming,true,4691,4009,260,20955,29926,3273
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,3,NA,97.87234042553192,103569,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,4874,222,65,1006,6181,3519
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,4,NA,99.25373134328358,204853,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4663,4056,248,21502,30481,3288
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,4,NA,97.87234042553192,106705,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,5626,225,51,911,6829,3493
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,5,NA,99.25373134328358,204690,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4679,4045,248,22199,31182,3338
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,5,NA,97.87234042553192,106320,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,5300,269,101,1004,6688,3302
