identifier,dbms,schema,operator,type,killed,time
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,CCNullifier,NORMAL,true,142
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,CCNullifier,NORMAL,true,156
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,124
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,118
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,108
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,108
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,103
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,false,112
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,103
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,101
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,117
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,104
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,101
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,105
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,111
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,167
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,165
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,114
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,101
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,107
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,DUPLICATE,true,92
1tqg1p7qnxqhcmug0hcc,HyperSQL,BookTown,PKCColumnA,NORMAL,true,92
