dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,224,mutantTiming,true,4515,4159,251,20851,29790,3373
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,97.87234042553192,107452,46,AllOperatorsNoFKANormalisedWithClassifiers,40,51,mutantTiming,true,5296,223,62,883,6479,3296
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,224,mutantTiming,true,4791,3951,273,20806,29834,3750
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,97.87234042553192,105338,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,5368,234,66,917,6598,3670
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,3,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,224,mutantTiming,true,4717,4121,265,21560,30674,3646
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,3,NA,97.87234042553192,103678,46,AllOperatorsNoFKANormalisedWithClassifiers,40,51,mutantTiming,true,5088,215,56,942,6312,3727
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,4,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,224,mutantTiming,true,4528,3937,282,21924,30682,3411
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,4,NA,97.87234042553192,107630,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,5341,203,59,920,6534,3281
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,5,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,224,mutantTiming,true,4533,4089,368,22809,31812,3457
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,5,NA,97.87234042553192,104466,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,5196,218,59,952,6436,3709
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,6,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,224,mutantTiming,true,4702,4096,227,20880,29917,3606
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,6,NA,97.87234042553192,105994,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,5285,217,61,867,6442,3444
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,7,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,224,mutantTiming,true,4410,3985,229,21232,29869,3357
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,7,NA,97.87234042553192,104851,46,AllOperatorsNoFKANormalisedWithClassifiers,40,51,mutantTiming,true,5274,242,66,1009,6604,3693
