dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,3280,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1407,mutantTiming,true,4719,1185331,1144,1421745,2612949
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,2,NA,100.0,3243,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1407,mutantTiming,true,4775,1191796,1112,1436205,2633902
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,3,NA,100.0,3356,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1407,mutantTiming,true,4796,1191006,1093,1454648,2651554
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,4,NA,100.0,3373,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1407,mutantTiming,true,4692,1173263,1132,1462886,2641986
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,5,NA,100.0,3201,1458,AllOperatorsNoFKANormalisedWithClassifiers,1355,1407,mutantTiming,true,4860,1194246,1117,1440603,2640836
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,6,NA,100.0,3288,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,4621,1183254,1125,1443992,2633003
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,7,NA,100.0,3236,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1407,mutantTiming,true,4895,1184730,1115,1437572,2628321
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,8,NA,100.0,3229,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,5042,1195767,1109,1442590,2644518
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,9,NA,100.0,3252,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1407,mutantTiming,true,4591,1201751,1116,1414164,2621633
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,10,NA,100.0,3206,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1407,mutantTiming,true,4678,1178034,1156,1468077,2651957
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,11,NA,100.0,3294,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1407,mutantTiming,true,4757,1189622,1110,1434244,2629744
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,12,NA,100.0,3282,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1407,mutantTiming,true,4794,1189361,1081,1463601,2658847
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,13,NA,100.0,3181,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1407,mutantTiming,true,4803,1174699,1093,1445130,2625736
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,14,NA,100.0,3280,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1407,mutantTiming,true,5077,1185372,1099,1418734,2610293
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,15,NA,100.0,3356,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1407,mutantTiming,true,4808,1194456,1116,1450536,2650929
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,16,NA,100.0,3224,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,4987,1182369,1153,1448896,2637416
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,17,NA,100.0,3428,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,4789,1178648,1219,1437310,2621978
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,18,NA,100.0,3294,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,4791,1178733,1098,1447033,2631665
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,19,NA,100.0,3291,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1407,mutantTiming,true,4816,1179695,1097,1435910,2621528
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,20,NA,100.0,3628,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1407,mutantTiming,true,4876,1196725,1160,1481886,2684658
