dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
HyperSQL,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,64,18,AllOperatorsNoFKANormalisedWithClassifiers,10,11,mutantTiming,true,485,60,25,145,725
HyperSQL,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,133,40,AllOperatorsNoFKANormalisedWithClassifiers,20,23,mutantTiming,true,565,108,71,512,1272
HyperSQL,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,71,31,AllOperatorsNoFKANormalisedWithClassifiers,25,28,mutantTiming,true,560,120,40,437,1167
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,99.25373134328358,200452,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4431,3995,291,22364,31093
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,234,72,AllOperatorsNoFKANormalisedWithClassifiers,78,84,mutantTiming,true,690,423,69,1446,2641
HyperSQL,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,64,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,513,91,38,426,1079
HyperSQL,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,194,77,AllOperatorsNoFKANormalisedWithClassifiers,51,56,mutantTiming,true,657,361,87,1489,2605
HyperSQL,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,663,120,AllOperatorsNoFKANormalisedWithClassifiers,82,91,mutantTiming,true,914,859,145,3474,5406
HyperSQL,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,327,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,836,1417,167,6112,8546
HyperSQL,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,137,35,AllOperatorsNoFKANormalisedWithClassifiers,42,44,mutantTiming,true,564,144,25,431,1175
HyperSQL,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,268,103,AllOperatorsNoFKANormalisedWithClassifiers,109,112,mutantTiming,true,839,547,96,2576,4070
HyperSQL,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,378,66,AllOperatorsNoFKANormalisedWithClassifiers,44,48,mutantTiming,true,733,223,81,1274,2322
HyperSQL,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,792,53,AllOperatorsNoFKANormalisedWithClassifiers,95,98,mutantTiming,true,662,376,61,1678,2788
HyperSQL,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,28,16,AllOperatorsNoFKANormalisedWithClassifiers,17,18,mutantTiming,true,476,82,20,165,754
HyperSQL,parsedcasestudy.Iso3166,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,17,9,AllOperatorsNoFKANormalisedWithClassifiers,9,10,mutantTiming,true,485,57,12,81,646
HyperSQL,parsedcasestudy.IsoFlav_R2Repaired,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,278,177,AllOperatorsNoFKANormalisedWithClassifiers,216,216,mutantTiming,true,712,1821,130,6185,8858
HyperSQL,parsedcasestudy.JWhoisServer,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,289,152,AllOperatorsNoFKANormalisedWithClassifiers,178,184,mutantTiming,true,887,2002,141,6242,9283
HyperSQL,parsedcasestudy.MozillaExtensions,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,368,226,AllOperatorsNoFKANormalisedWithClassifiers,358,360,mutantTiming,true,867,5417,158,14449,20901
HyperSQL,parsedcasestudy.MozillaPermissions,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,51,32,AllOperatorsNoFKANormalisedWithClassifiers,29,30,mutantTiming,true,538,100,25,338,1011
HyperSQL,parsedcasestudy.NistDML181,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,79,37,AllOperatorsNoFKANormalisedWithClassifiers,18,20,mutantTiming,true,544,94,36,338,1023
