identifier,dbms,schema,operator,type,killed,time
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,CCNullifier,NORMAL,true,156
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,CCNullifier,NORMAL,true,146
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,135
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,127
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,119
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,115
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,110
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,113
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,111
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,113
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,109
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,109
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,108
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,103
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,100
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,101
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,93
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,93
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,92
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,92
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
kytxfiuvmidb6krof3mx,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
