dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,99.25373134328358,200452,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4507,4062,308,21787,30676,3484
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,97.87234042553192,101059,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,2476,247,78,974,3790,1711
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,2,NA,99.25373134328358,200442,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4739,4026,245,20850,29871,3680
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,2,NA,97.87234042553192,100884,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,2464,300,69,914,3766,1776
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,3,NA,99.25373134328358,200467,266,AllOperatorsNoFKANormalisedWithClassifiers,209,224,mutantTiming,true,4703,4061,287,21828,30890,3639
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,3,NA,97.87234042553192,101836,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,3213,229,64,995,4513,2354
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,4,NA,99.25373134328358,200454,266,AllOperatorsNoFKANormalisedWithClassifiers,209,224,mutantTiming,true,4506,4094,248,21511,30370,3442
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,4,NA,97.87234042553192,100927,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,2306,304,84,979,3684,1618
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,5,NA,99.25373134328358,200443,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4577,3947,267,21816,30617,3420
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,5,NA,97.87234042553192,100980,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,2342,224,63,919,3558,1645
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,6,NA,99.25373134328358,200437,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4768,4219,321,21562,30880,3685
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,6,NA,97.87234042553192,101090,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,2666,283,74,1004,4041,1742
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,7,NA,99.25373134328358,200446,266,AllOperatorsNoFKANormalisedWithClassifiers,209,224,mutantTiming,true,4681,4029,231,21155,30107,3628
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,7,NA,97.87234042553192,101169,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,2600,247,73,911,3847,1917
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,8,NA,99.25373134328358,200454,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,4585,4201,267,21412,30476,3460
