identifier,dbms,schema,operator,type,killed,time
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,CCNullifier,NORMAL,true,172
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,CCNullifier,NORMAL,true,166
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,145
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,141
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,124
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,125
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,120
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,123
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,131
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,120
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,124
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,114
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,106
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,103
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,115
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,101
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,105
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,107
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,102
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,DUPLICATE,true,99
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,125
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,DUPLICATE,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,119
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,97
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,97
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,116
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,100
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,101
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,100
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,103
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,97
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,99
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,98
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,97
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,103
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,95
3vyfrbqa24djugxsdhez,HyperSQL,BookTown,PKCColumnA,NORMAL,true,96
