dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,1,NA,99.25373134328358,200559,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,2578,4277,267,22739,29873,1393
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,1,NA,97.87234042553192,101094,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,1668,242,77,1004,3007,1036
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,2,NA,99.25373134328358,200503,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,2342,4154,239,21763,28511,1343
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,2,NA,97.87234042553192,101665,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,1723,251,68,964,3021,1027
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,3,NA,99.25373134328358,200503,266,AllOperatorsNoFKANormalisedWithClassifiers,208,224,mutantTiming,true,2554,4020,258,22191,29036,1538
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,3,NA,97.87234042553192,101694,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,1739,245,64,1068,3126,972
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,4,NA,99.25373134328358,200485,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,2557,4084,280,21542,28475,1552
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,4,NA,97.87234042553192,101305,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,1616,230,66,1022,2947,939
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,5,NA,99.25373134328358,200502,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,2474,4055,341,22888,29771,1475
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,5,NA,97.87234042553192,101341,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,1666,234,60,967,2939,999
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,6,NA,99.25373134328358,200516,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,2506,4042,263,21229,28051,1493
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,6,NA,97.87234042553192,101169,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,1732,264,54,1015,3080,1041
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,7,NA,99.25373134328358,200503,266,AllOperatorsNoFKANormalisedWithClassifiers,209,224,mutantTiming,true,2425,4140,289,23099,29966,1377
