dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,106597,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1407,mutantTiming,true,4921,1175747,1116,1427770,2609565
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,2,NA,100.0,114649,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,5252,1188944,1108,1433067,2628384
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,3,NA,100.0,99869,1458,AllOperatorsNoFKANormalisedWithClassifiers,1361,1407,mutantTiming,true,4766,1187589,1093,1489601,2683059
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,4,NA,100.0,102981,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,5165,1189502,1108,1431599,2627385
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,5,NA,100.0,108437,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1407,mutantTiming,true,4914,1190725,1126,1427733,2624508
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,6,NA,100.0,102610,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1407,mutantTiming,true,4940,1189392,1092,1448444,2643881
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,7,NA,100.0,106483,1458,AllOperatorsNoFKANormalisedWithClassifiers,1361,1407,mutantTiming,true,4986,1193708,1137,1464100,2663942
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,8,NA,100.0,98602,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1407,mutantTiming,true,4835,1182676,1122,1451510,2640155
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,9,NA,100.0,100057,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1407,mutantTiming,true,4976,1202014,1118,1424591,2632710
HyperSQL,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,10,NA,100.0,92889,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1407,mutantTiming,true,4831,1187965,1100,1435980,2629886
