dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
HyperSQL,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,64,18,AllOperatorsNoFKANormalisedWithClassifiers,10,11,mutantTiming,true,485,61,22,135,712
HyperSQL,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,133,40,AllOperatorsNoFKANormalisedWithClassifiers,20,23,mutantTiming,true,574,110,76,544,1316
HyperSQL,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,71,31,AllOperatorsNoFKANormalisedWithClassifiers,25,28,mutantTiming,true,529,125,44,447,1159
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,99.25373134328358,200559,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,2287,4035,260,21983,28576
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,249,72,AllOperatorsNoFKANormalisedWithClassifiers,79,84,mutantTiming,true,653,394,71,1450,2578
HyperSQL,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,64,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,511,92,36,437,1087
HyperSQL,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,194,77,AllOperatorsNoFKANormalisedWithClassifiers,51,56,mutantTiming,true,668,345,96,1585,2707
HyperSQL,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,856,120,AllOperatorsNoFKANormalisedWithClassifiers,82,91,mutantTiming,true,856,769,148,3444,5228
HyperSQL,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,327,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,828,1401,174,5933,8348
HyperSQL,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,480,35,AllOperatorsNoFKANormalisedWithClassifiers,42,44,mutantTiming,true,570,160,25,434,1198
HyperSQL,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,322,103,AllOperatorsNoFKANormalisedWithClassifiers,110,112,mutantTiming,true,767,501,100,2567,3945
HyperSQL,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,823,66,AllOperatorsNoFKANormalisedWithClassifiers,44,48,mutantTiming,true,679,235,86,1245,2256
HyperSQL,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,792,53,AllOperatorsNoFKANormalisedWithClassifiers,95,98,mutantTiming,true,655,374,60,1793,2893
HyperSQL,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,28,16,AllOperatorsNoFKANormalisedWithClassifiers,17,18,mutantTiming,true,485,72,16,142,726
HyperSQL,parsedcasestudy.Iso3166,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,17,9,AllOperatorsNoFKANormalisedWithClassifiers,9,10,mutantTiming,true,474,55,11,75,626
HyperSQL,parsedcasestudy.IsoFlav_R2Repaired,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,278,177,AllOperatorsNoFKANormalisedWithClassifiers,216,216,mutantTiming,true,729,1880,134,6052,8808
HyperSQL,parsedcasestudy.JWhoisServer,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,289,152,AllOperatorsNoFKANormalisedWithClassifiers,178,184,mutantTiming,true,877,2134,141,6239,9404
HyperSQL,parsedcasestudy.MozillaExtensions,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,368,226,AllOperatorsNoFKANormalisedWithClassifiers,358,360,mutantTiming,true,867,6213,157,14553,21803
HyperSQL,parsedcasestudy.MozillaPermissions,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,51,32,AllOperatorsNoFKANormalisedWithClassifiers,29,30,mutantTiming,true,518,97,29,357,1010
HyperSQL,parsedcasestudy.NistDML181,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,79,37,AllOperatorsNoFKANormalisedWithClassifiers,18,20,mutantTiming,true,532,87,36,335,1000
HyperSQL,parsedcasestudy.NistDML182,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,323,176,AllOperatorsNoFKANormalisedWithClassifiers,81,96,mutantTiming,true,771,1613,89,2881,5367
HyperSQL,parsedcasestudy.NistDML183,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,65,34,AllOperatorsNoFKANormalisedWithClassifiers,20,20,mutantTiming,true,513,93,35,286,939
HyperSQL,parsedcasestudy.NistWeather,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,2109,52,AllOperatorsNoFKANormalisedWithClassifiers,30,34,mutantTiming,true,672,142,64,648,1542
HyperSQL,parsedcasestudy.NistXTS748,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,39,16,AllOperatorsNoFKANormalisedWithClassifiers,17,18,mutantTiming,true,469,75,15,138,706
HyperSQL,parsedcasestudy.NistXTS749,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,159,37,AllOperatorsNoFKANormalisedWithClassifiers,21,25,mutantTiming,true,564,119,48,422,1164
HyperSQL,parsedcasestudy.Person,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,244,19,AllOperatorsNoFKANormalisedWithClassifiers,21,22,mutantTiming,true,559,93,24,299,986
HyperSQL,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,97.87234042553192,101094,46,AllOperatorsNoFKANormalisedWithClassifiers,41,51,mutantTiming,true,1460,298,60,821,2649
HyperSQL,parsedcasestudy.RiskIt,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,985,245,AllOperatorsNoFKANormalisedWithClassifiers,187,199,mutantTiming,true,977,4110,301,14103,19505
HyperSQL,parsedcasestudy.StackOverflow,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,273,171,AllOperatorsNoFKANormalisedWithClassifiers,129,129,mutantTiming,true,799,636,140,4606,6192
HyperSQL,parsedcasestudy.StudentResidence,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,1352,30,AllOperatorsNoFKANormalisedWithClassifiers,35,38,mutantTiming,true,565,150,31,471,1227
