dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
HyperSQL,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,64,18,AllOperatorsNoFKANormalisedWithClassifiers,10,11,mutantTiming,true,542,56,24,155,787
HyperSQL,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,133,40,AllOperatorsNoFKANormalisedWithClassifiers,20,23,mutantTiming,true,600,104,76,594,1384
HyperSQL,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,71,31,AllOperatorsNoFKANormalisedWithClassifiers,25,28,mutantTiming,true,586,104,35,458,1193
HyperSQL,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,dravm,1,NA,99.25373134328358,200599,266,AllOperatorsNoFKANormalisedWithClassifiers,210,224,mutantTiming,true,2709,4035,225,23759,30739
HyperSQL,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,372,72,AllOperatorsNoFKANormalisedWithClassifiers,78,84,mutantTiming,true,772,307,69,1418,2575
HyperSQL,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,64,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,550,82,36,477,1156
HyperSQL,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,194,77,AllOperatorsNoFKANormalisedWithClassifiers,51,56,mutantTiming,true,702,350,91,1655,2811
HyperSQL,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,1275,120,AllOperatorsNoFKANormalisedWithClassifiers,82,91,mutantTiming,true,969,744,142,3615,5485
HyperSQL,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,327,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,875,1379,202,6258,8728
HyperSQL,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,323,35,AllOperatorsNoFKANormalisedWithClassifiers,42,44,mutantTiming,true,605,136,30,495,1277
HyperSQL,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,840,103,AllOperatorsNoFKANormalisedWithClassifiers,109,112,mutantTiming,true,920,508,101,2664,4203
HyperSQL,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,704,66,AllOperatorsNoFKANormalisedWithClassifiers,44,48,mutantTiming,true,813,224,101,1360,2507
HyperSQL,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,792,53,AllOperatorsNoFKANormalisedWithClassifiers,95,98,mutantTiming,true,738,362,76,1802,2987
HyperSQL,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,28,16,AllOperatorsNoFKANormalisedWithClassifiers,17,18,mutantTiming,true,526,71,17,163,786
HyperSQL,parsedcasestudy.Iso3166,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,17,9,AllOperatorsNoFKANormalisedWithClassifiers,9,10,mutantTiming,true,545,52,12,76,693
HyperSQL,parsedcasestudy.IsoFlav_R2Repaired,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,278,177,AllOperatorsNoFKANormalisedWithClassifiers,216,216,mutantTiming,true,808,1860,145,6544,9371
