dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,168972,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,84569,1200515,53472,103287184,104625755
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,167228,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1437,mutantTiming,true,84419,1181480,54236,82521239,83841389
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,3,NA,100.0,165209,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1437,mutantTiming,true,83752,1202375,51553,106842464,108180158
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,4,NA,100.0,194628,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,93327,1185979,55233,82549261,83883817
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,5,NA,100.0,176591,1458,AllOperatorsNoFKANormalisedWithClassifiers,1355,1437,mutantTiming,true,84860,1173413,54123,106692361,108004772
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,6,NA,100.0,191151,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,88394,1194044,54440,82690629,84027523
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,7,NA,100.0,168780,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,84645,1164550,53553,106610811,107913576
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,8,NA,100.0,169339,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,82356,1168996,54509,82511194,83817071
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,9,NA,100.0,157830,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,79117,1195788,54372,106252492,107581784
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,10,NA,100.0,175191,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1437,mutantTiming,true,83909,1198704,54143,82389343,83726114
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,11,NA,100.0,195034,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,92524,1170630,54483,106207952,107525605
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,12,NA,100.0,162510,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,83648,1195659,54948,82567290,83901561
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,13,NA,100.0,164172,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,80531,1196411,51316,106607376,107935649
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,14,NA,100.0,201827,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,93122,1199804,53331,82639220,83985511
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,15,NA,100.0,263688,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1437,mutantTiming,true,114501,1194488,53948,106417919,107780873
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,16,NA,100.0,220112,1458,AllOperatorsNoFKANormalisedWithClassifiers,1361,1437,mutantTiming,true,94988,1190932,52838,82558742,83897518
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,17,NA,100.0,174985,1458,AllOperatorsNoFKANormalisedWithClassifiers,1355,1437,mutantTiming,true,84784,1178497,50904,106200305,107514506
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,18,NA,100.0,205314,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,92809,1192124,54480,82674109,84013538
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,19,NA,100.0,164692,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,82459,1207770,42859,79483444,80816546
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,20,NA,100.0,200572,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,85793,1171992,43254,100438277,101739332
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,21,NA,100.0,224662,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,88580,1194512,45798,79126270,80455174
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,22,NA,100.0,234930,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1437,mutantTiming,true,98771,1205865,43522,100862508,102210680
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,23,NA,100.0,159346,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,72331,1196080,41923,79142231,80452580
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,24,NA,100.0,161795,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,73539,1177457,44645,99842890,101138547
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,25,NA,100.0,161801,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,74976,1182416,43664,79266922,80567994
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,26,NA,100.0,163985,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,73395,1192839,42260,99773899,101082409
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,27,NA,100.0,188135,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,80129,1185682,43730,79276816,80586373
