dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
Postgres,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1140,18,AllOperatorsNoFKANormalisedWithClassifiers,10,12,mutantTiming,true,2424,70,972,8537,12017
Postgres,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,3404,40,AllOperatorsNoFKANormalisedWithClassifiers,20,26,mutantTiming,true,3196,119,2387,58949,64667
Postgres,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1295,31,AllOperatorsNoFKANormalisedWithClassifiers,25,30,mutantTiming,true,1802,122,1118,30379,33433
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,1,NA,99.25373134328358,204839,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,10779,4101,7607,1656289,1678791
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,86433,72,AllOperatorsNoFKANormalisedWithClassifiers,79,85,mutantTiming,true,13260,331,2818,205485,221908
Postgres,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,855,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,1187,90,908,29425,31623
Postgres,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,3444,77,AllOperatorsNoFKANormalisedWithClassifiers,51,61,mutantTiming,true,4862,285,4138,185624,194923
Postgres,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,17461,120,AllOperatorsNoFKANormalisedWithClassifiers,80,96,mutantTiming,true,9714,692,7474,518021,535914
Postgres,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,9313,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,5086,1331,3644,597713,607786
Postgres,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1568,35,AllOperatorsNoFKANormalisedWithClassifiers,42,45,mutantTiming,true,1301,145,720,30355,32533
Postgres,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,6555,103,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,5132,502,3951,311832,321434
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,1,NA,96.96969696969697,231900,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,24399,205,1902,85040,111561
Postgres,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,8106,53,AllOperatorsNoFKANormalisedWithClassifiers,95,106,mutantTiming,true,4461,466,2525,235461,242926
Postgres,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,296,16,AllOperatorsNoFKANormalisedWithClassifiers,19,21,mutantTiming,true,723,84,522,9802,11144
