dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,86433,72,AllOperatorsNoFKANormalisedWithClassifiers,79,85,mutantTiming,true,12726,394,2704,200618,216455,0
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,1,NA,96.96969696969697,231900,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,24956,221,1852,83098,110141,19712
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,2,NA,98.61111111111111,149148,71,AllOperatorsNoFKANormalisedWithClassifiers,79,85,mutantTiming,true,18819,330,2735,198595,220490,9919
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,2,NA,96.96969696969697,212847,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,22532,225,1931,82529,107231,19165
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,3,NA,98.61111111111111,122032,71,AllOperatorsNoFKANormalisedWithClassifiers,77,85,mutantTiming,true,17088,383,2600,197973,218059,10856
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,3,NA,96.96969696969697,230157,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,23357,209,2207,83454,109237,18469
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,4,NA,97.22222222222221,206921,70,AllOperatorsNoFKANormalisedWithClassifiers,77,85,mutantTiming,true,25324,323,2551,194562,222773,21253
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,4,NA,96.96969696969697,229922,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,23619,215,2000,84045,109895,18626
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,5,NA,98.61111111111111,177609,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,22590,404,2652,196705,222366,11007
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,5,NA,96.96969696969697,220417,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,23034,220,1887,84940,110093,18905
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,6,NA,98.61111111111111,131354,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,17651,332,2617,193950,214562,10933
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,6,NA,96.96969696969697,252053,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,25776,204,1862,84208,112065,18829
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,7,NA,98.61111111111111,137065,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,17788,365,2617,196850,217635,10870
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,7,NA,96.96969696969697,233623,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,23175,204,1987,85882,111263,17998
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,8,NA,98.61111111111111,124003,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,17229,311,2612,197365,217530,11336
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,8,NA,96.96969696969697,254956,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,26334,212,1903,83991,112452,19090
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,9,NA,98.61111111111111,161550,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,21755,369,2630,198770,223534,11159
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,9,NA,96.96969696969697,300028,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,31753,238,1869,83067,116938,19735
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,10,NA,98.61111111111111,142226,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,18653,376,2857,195275,217172,10917
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,10,NA,98.48484848484848,256786,65,AllOperatorsNoFKANormalisedWithClassifiers,44,48,mutantTiming,true,26685,220,1920,85078,113914,10017
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,11,NA,98.61111111111111,134374,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,17580,376,2594,195253,215815,10937
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,11,NA,96.96969696969697,252335,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,25927,244,1905,82257,110344,18873
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,12,NA,98.61111111111111,120778,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,16194,409,2673,194577,213866,10108
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,12,NA,96.96969696969697,247170,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,26583,230,1860,82125,110812,19775
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,13,NA,100.0,88429,72,AllOperatorsNoFKANormalisedWithClassifiers,79,85,mutantTiming,true,13227,373,2679,197591,213886,0
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,13,NA,96.96969696969697,234785,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,24880,199,1866,83991,110949,19338
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,14,NA,100.0,74502,72,AllOperatorsNoFKANormalisedWithClassifiers,79,85,mutantTiming,true,11691,370,2770,202837,217681,0
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,14,NA,96.96969696969697,217353,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,23228,208,1865,83015,108327,19238
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,15,NA,98.61111111111111,134318,71,AllOperatorsNoFKANormalisedWithClassifiers,74,85,mutantTiming,true,17550,375,3199,194618,215753,10132
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,15,NA,96.96969696969697,212465,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,21572,214,1884,84912,108595,18271
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,16,NA,98.61111111111111,112770,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,15445,356,2550,194194,212557,10532
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,16,NA,96.96969696969697,216524,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,22752,230,1868,84339,109202,19036
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,17,NA,98.61111111111111,111621,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,14482,381,2651,196772,214297,10212
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,17,NA,98.48484848484848,180017,65,AllOperatorsNoFKANormalisedWithClassifiers,44,48,mutantTiming,true,19800,228,1945,87553,109538,9117
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,18,NA,97.22222222222221,211759,70,AllOperatorsNoFKANormalisedWithClassifiers,76,85,mutantTiming,true,26017,366,2615,195980,224990,21417
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,18,NA,96.96969696969697,251989,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,25624,226,1889,84625,112377,18790
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,19,NA,98.61111111111111,119497,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,16609,400,2691,198260,217973,10734
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,19,NA,96.96969696969697,248277,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,25223,205,1876,83418,110738,18630
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,20,NA,98.61111111111111,163658,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,21037,340,2959,196037,220384,10950
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,20,NA,96.96969696969697,228737,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,23618,217,1983,82095,107929,18817
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,21,NA,98.61111111111111,177848,71,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,22554,365,2685,194835,220452,11178
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,21,NA,96.96969696969697,237555,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,25542,204,1910,82949,110617,19636
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,22,NA,100.0,49619,72,AllOperatorsNoFKANormalisedWithClassifiers,75,85,mutantTiming,true,9425,367,2653,199323,211782,0
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,22,NA,96.96969696969697,237064,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,24988,205,1852,82984,110040,19109
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,23,NA,98.61111111111111,122818,71,AllOperatorsNoFKANormalisedWithClassifiers,77,85,mutantTiming,true,17147,347,2585,197843,217939,10434
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,23,NA,96.96969696969697,230509,64,AllOperatorsNoFKANormalisedWithClassifiers,42,48,mutantTiming,true,23959,230,1901,84742,110844,18904
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,24,NA,100.0,132431,72,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,16718,345,2703,199497,219275,0
