identifier,dbms,schema,operator,type,killed,time
qligkaq6tqq35r3mpxpz,Postgres,BookTown,CCNullifier,NORMAL,true,6700
qligkaq6tqq35r3mpxpz,Postgres,BookTown,CCNullifier,NORMAL,true,6625
qligkaq6tqq35r3mpxpz,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,7087
qligkaq6tqq35r3mpxpz,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6685
qligkaq6tqq35r3mpxpz,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6919
qligkaq6tqq35r3mpxpz,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,6794
qligkaq6tqq35r3mpxpz,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6510
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7018
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6760
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6828
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6693
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6760
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7078
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6918
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6568
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6903
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6859
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7627
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6993
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6902
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6802
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7136
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7260
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6851
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7060
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,DUPLICATE,true,7044
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6876
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7068
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6843
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6928
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6893
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,DUPLICATE,true,6918
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6795
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7452
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6743
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,6769
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7018
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7386
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7671
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,8168
qligkaq6tqq35r3mpxpz,Postgres,BookTown,PKCColumnA,NORMAL,true,7060
