dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,1,NA,99.25373134328358,204839,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,10579,4026,6692,1642168,1663478,3195
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,1,NA,97.87234042553192,105288,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7201,234,1864,74985,84296,3871
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,2,NA,99.25373134328358,204995,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10666,4102,7647,1630509,1652940,3245
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,2,NA,97.87234042553192,106790,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6884,226,1922,75237,84287,3418
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,3,NA,99.25373134328358,204196,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,10589,3994,7331,1636363,1658290,3222
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,3,NA,97.87234042553192,103569,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6720,223,1916,76150,85022,3701
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,4,NA,99.25373134328358,204853,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10756,4036,7198,1643327,1665333,3284
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,4,NA,97.87234042553192,106705,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7361,258,1856,74466,83955,3698
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,5,NA,99.25373134328358,204690,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,11092,4236,7007,1627526,1649875,3560
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,5,NA,97.87234042553192,106320,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6945,244,1804,76014,85020,3271
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,6,NA,99.25373134328358,204969,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,10734,4269,6832,1636747,1658593,3339
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,6,NA,97.87234042553192,105211,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6535,238,1934,74138,82858,3543
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,7,NA,99.25373134328358,204833,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10677,4144,7689,1907513,1930037,3205
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,7,NA,97.87234042553192,105423,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6823,221,1936,74312,83305,3581
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,8,NA,99.25373134328358,204648,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,11177,4033,6706,1635027,1656955,3189
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,8,NA,97.87234042553192,104966,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6757,243,2022,74846,83879,3506
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,9,NA,99.25373134328358,204534,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10848,3980,7312,1632797,1654950,3279
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,9,NA,97.87234042553192,108694,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6778,238,1979,77877,86884,3229
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,10,NA,99.25373134328358,204223,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,10723,4155,7061,1632013,1653969,3231
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,10,NA,97.87234042553192,104236,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6960,239,1884,75137,84233,3926
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,11,NA,99.25373134328358,204404,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10898,4067,7581,1634722,1657284,3261
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,11,NA,97.87234042553192,106807,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6786,216,1915,73796,82725,3342
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,12,NA,99.25373134328358,204808,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,11858,4105,6575,1632435,1654990,4031
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,12,NA,97.87234042553192,104824,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7153,219,1813,73878,83074,3806
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,13,NA,99.25373134328358,204626,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10469,4123,6868,1633697,1655172,3189
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,13,NA,97.87234042553192,106556,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7092,244,2013,73017,82379,3513
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,14,NA,99.25373134328358,205208,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,10562,3998,7960,1625610,1648147,3318
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,14,NA,97.87234042553192,103181,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6423,226,1906,76653,85220,3619
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,15,NA,99.25373134328358,204544,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,11085,4253,7645,1629472,1652471,3334
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,15,NA,97.87234042553192,103413,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6519,233,1891,74772,83425,3646
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,16,NA,99.25373134328358,204660,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10887,4052,7332,1634184,1656468,3197
