identifier,dbms,schema,operator,type,killed,time
dpka1jzb7jgduefxk4td,Postgres,BookTown,CCNullifier,NORMAL,true,6904
dpka1jzb7jgduefxk4td,Postgres,BookTown,CCNullifier,NORMAL,true,6898
dpka1jzb7jgduefxk4td,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6659
dpka1jzb7jgduefxk4td,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6676
dpka1jzb7jgduefxk4td,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6552
dpka1jzb7jgduefxk4td,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,6935
dpka1jzb7jgduefxk4td,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6810
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,false,7012
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6845
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6977
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6785
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,7093
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6677
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6694
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6726
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6660
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,7078
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6552
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6460
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6735
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6653
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6660
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6968
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6719
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6535
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,DUPLICATE,true,6894
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6902
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,7510
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,7118
dpka1jzb7jgduefxk4td,Postgres,BookTown,PKCColumnA,NORMAL,true,6687
