dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10497,5190,6918,1638599,1661215,3467
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,97.87234042553192,107452,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,6789,237,1861,74306,83205,3152
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10772,4058,8800,1631831,1655475,3369
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,97.87234042553192,105338,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6946,229,1895,73737,82818,3543
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,3,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10541,4041,7336,1631474,1653407,3376
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,3,NA,97.87234042553192,103678,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,6576,211,1987,75834,84621,3683
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,4,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10519,4177,6940,1626314,1647961,3377
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,4,NA,97.87234042553192,107630,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7450,269,1938,75200,84870,3543
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,5,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,11138,4108,7092,1625573,1647922,3650
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,5,NA,97.87234042553192,104466,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6516,229,1869,76405,85033,3535
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,6,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10843,4023,7702,1630708,1653289,3449
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,6,NA,97.87234042553192,105994,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6980,255,1918,75093,84257,3364
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,7,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10388,4152,6739,1629291,1650584,3310
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,7,NA,97.87234042553192,104851,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,6884,237,1933,76051,85116,3505
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,8,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10657,4080,6602,1634131,1655480,3421
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,8,NA,97.87234042553192,106314,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7042,284,1822,73298,82459,3587
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,9,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,11023,4078,6772,1627183,1649069,3561
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,9,NA,97.87234042553192,105986,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,7084,238,1802,74526,83662,3389
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,10,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10597,4135,6724,1626981,1648450,3559
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,10,NA,97.87234042553192,103614,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6683,228,1846,75796,84565,3678
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,11,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10557,4156,6684,1630258,1651668,3499
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,11,NA,97.87234042553192,103524,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6677,211,1971,75768,84638,3517
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,12,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10814,4211,6664,1632930,1654635,3600
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,12,NA,97.87234042553192,105168,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,6632,236,2187,73470,82537,3486
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,13,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10426,4073,6568,1635610,1656692,3489
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,13,NA,97.87234042553192,107269,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,7294,236,2063,75359,84965,3786
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,14,NA,99.25373134328358,201165,266,AllOperatorsNoFKANormalisedWithClassifiers,206,235,mutantTiming,true,10712,4126,7365,1629893,1652111,3642
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,14,NA,97.87234042553192,106881,46,AllOperatorsNoFKANormalisedWithClassifiers,40,53,mutantTiming,true,6710,233,2049,76588,85593,3255
