dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
Postgres,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,64,18,AllOperatorsNoFKANormalisedWithClassifiers,10,12,mutantTiming,true,979,66,790,8238,10085
Postgres,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,133,40,AllOperatorsNoFKANormalisedWithClassifiers,20,26,mutantTiming,true,2530,118,2256,48477,53395
Postgres,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,71,31,AllOperatorsNoFKANormalisedWithClassifiers,25,30,mutantTiming,true,1353,151,1055,29833,32405
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,99.25373134328358,200452,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10712,4093,7338,1656634,1678794
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,234,72,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,3568,347,2793,204897,211621
Postgres,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,64,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,1150,101,964,28826,31054
Postgres,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,194,77,AllOperatorsNoFKANormalisedWithClassifiers,51,61,mutantTiming,true,4468,301,4440,186488,195713
Postgres,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,663,120,AllOperatorsNoFKANormalisedWithClassifiers,80,96,mutantTiming,true,7965,712,7629,517351,533672
Postgres,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,327,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,4123,1428,3710,590684,599963
Postgres,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,137,35,AllOperatorsNoFKANormalisedWithClassifiers,42,45,mutantTiming,true,1037,162,944,29563,31718
Postgres,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,268,103,AllOperatorsNoFKANormalisedWithClassifiers,109,114,mutantTiming,true,4126,545,3603,315685,323976
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,378,66,AllOperatorsNoFKANormalisedWithClassifiers,44,48,mutantTiming,true,2453,221,1977,89711,94375
Postgres,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,792,53,AllOperatorsNoFKANormalisedWithClassifiers,95,106,mutantTiming,true,2979,455,2686,236094,242230
Postgres,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,28,16,AllOperatorsNoFKANormalisedWithClassifiers,19,21,mutantTiming,true,674,80,444,9345,10555
Postgres,parsedcasestudy.Iso3166,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,17,9,AllOperatorsNoFKANormalisedWithClassifiers,9,11,mutantTiming,true,466,61,370,2925,3836
