identifier,dbms,schema,operator,type,killed,time
aplzvdgomj77cuvoopft,Postgres,BookTown,CCNullifier,NORMAL,true,6768
aplzvdgomj77cuvoopft,Postgres,BookTown,CCNullifier,NORMAL,true,6825
aplzvdgomj77cuvoopft,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6912
aplzvdgomj77cuvoopft,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,6818
aplzvdgomj77cuvoopft,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6559
aplzvdgomj77cuvoopft,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6702
aplzvdgomj77cuvoopft,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6402
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7101
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6885
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6843
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6886
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7010
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7002
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6836
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6901
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6526
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7076
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7619
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6968
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6760
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7061
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6760
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7068
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6985
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6986
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,DUPLICATE,true,6621
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6911
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7062
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6877
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7202
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6978
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,DUPLICATE,true,6960
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,8093
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6876
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6636
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6701
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7052
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7195
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6651
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6860
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7576
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6819
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7301
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6901
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7644
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7093
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6777
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7176
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6794
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6793
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6826
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7136
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7210
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6902
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7069
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7161
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7102
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6901
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7013
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7116
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,6943
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7260
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnA,NORMAL,true,7436
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,7726
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,7052
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,6752
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,6910
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,6844
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,6986
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,7493
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,6828
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,7012
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,7085
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnR,NORMAL,true,6876
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,8586
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6668
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,7202
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,7201
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6787
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6843
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6628
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6918
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,7010
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6702
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6893
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,7035
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6626
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,8028
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6827
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6793
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,7044
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6768
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6910
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6693
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6886
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6768
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6868
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,7493
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,7369
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6676
aplzvdgomj77cuvoopft,Postgres,BookTown,PKCColumnE,NORMAL,true,6760
aplzvdgomj77cuvoopft,Postgres,BookTown,NNCA,NORMAL,true,6911
aplzvdgomj77cuvoopft,Postgres,BookTown,NNCA,NORMAL,true,7092
aplzvdgomj77cuvoopft,Postgres,BookTown,NNCA,NORMAL,true,6643
