dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,99.25373134328358,200452,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10607,4104,7412,1646578,1668715,3530
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,97.87234042553192,101059,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,4414,288,1811,75597,82122,1995
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,2,NA,99.25373134328358,200442,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10778,4127,6997,1646173,1668089,3725
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,2,NA,97.87234042553192,100884,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3912,291,1965,75085,81266,1717
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,3,NA,99.25373134328358,200467,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,10830,4063,6982,1643309,1665197,3767
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,3,NA,97.87234042553192,101836,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,4926,235,1805,74482,81460,2191
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,4,NA,99.25373134328358,200454,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,10459,4189,7814,1645489,1667967,3204
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,4,NA,97.87234042553192,100927,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3989,286,1929,76588,82806,1642
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,5,NA,99.25373134328358,200443,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10752,4176,7948,1643256,1666146,3286
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,5,NA,97.87234042553192,100980,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,4179,288,1860,75795,82135,1773
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,6,NA,99.25373134328358,200437,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,10796,4195,6979,1645414,1667399,3553
