identifier,dbms,schema,operator,type,killed,time
d25umlgzgewyyisbzdjg,Postgres,BookTown,CCNullifier,NORMAL,true,6817
d25umlgzgewyyisbzdjg,Postgres,BookTown,CCNullifier,NORMAL,true,6641
d25umlgzgewyyisbzdjg,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,7036
d25umlgzgewyyisbzdjg,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6993
d25umlgzgewyyisbzdjg,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6376
d25umlgzgewyyisbzdjg,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,6518
d25umlgzgewyyisbzdjg,Postgres,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,6528
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6902
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6995
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6683
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6860
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6718
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6836
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6910
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6826
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6886
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,7060
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,7418
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,7652
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,7026
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6868
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6510
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6569
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,7318
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,NORMAL,true,6693
d25umlgzgewyyisbzdjg,Postgres,BookTown,PKCColumnA,DUPLICATE,true,6933
