dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,1,NA,99.25373134328358,200559,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8268,4150,7217,1637745,1657393,1430
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,1,NA,97.87234042553192,101094,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3029,278,1976,76428,81726,838
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,2,NA,99.25373134328358,200503,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8807,4168,7133,1644532,1664652,1493
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,2,NA,97.87234042553192,101665,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3305,239,1883,75134,80573,924
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,3,NA,99.25373134328358,200503,266,AllOperatorsNoFKANormalisedWithClassifiers,208,235,mutantTiming,true,8499,4163,6953,1638739,1658367,1383
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,3,NA,97.87234042553192,101694,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3338,252,2004,76482,82091,1098
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,4,NA,99.25373134328358,200485,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8813,4108,7058,1642655,1662647,1504
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,4,NA,97.87234042553192,101305,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3231,259,1830,77432,82768,991
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,5,NA,99.25373134328358,200502,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8749,4213,7071,1639673,1659720,1393
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,5,NA,97.87234042553192,101341,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3222,248,1868,77372,82722,889
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,6,NA,99.25373134328358,200516,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8933,4106,8062,1655278,1676392,1553
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,6,NA,97.87234042553192,101169,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3180,254,1820,76404,81669,847
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,7,NA,99.25373134328358,200503,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,8618,4225,7410,1642864,1663131,1469
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,7,NA,97.87234042553192,101619,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3185,263,1876,75200,80540,931
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,8,NA,99.25373134328358,200545,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8422,4154,8020,1644589,1665200,1469
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,8,NA,97.87234042553192,101320,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3234,270,1861,75485,80864,854
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,9,NA,99.25373134328358,200460,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8892,4225,7306,1636989,1657424,1505
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,9,NA,97.87234042553192,101817,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3376,252,2180,77677,83497,982
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,10,NA,99.25373134328358,200458,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8782,4113,7295,1638089,1658292,1526
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,10,NA,97.87234042553192,101186,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3087,233,1964,77097,82394,861
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,11,NA,99.25373134328358,200507,266,AllOperatorsNoFKANormalisedWithClassifiers,209,235,mutantTiming,true,8866,4094,7915,1641297,1662187,1464
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,11,NA,97.87234042553192,101629,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3363,270,2127,75345,81117,1039
