identifier,dbms,schema,operator,type,killed,time
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCNullifier,NORMAL,true,56160
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCNullifier,NORMAL,true,56577
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCNullifier,NORMAL,true,57686
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCNullifier,NORMAL,true,56521
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCNullifier,NORMAL,true,57616
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCNullifier,NORMAL,true,57745
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCNullifier,NORMAL,true,56788
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCNullifier,NORMAL,true,56333
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56503
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56957
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,54811
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56945
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56002
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,54288
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56062
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58772
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56003
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55945
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55694
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55827
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58225
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56296
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,54961
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56461
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55696
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56716
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58254
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56121
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55461
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55286
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56654
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58723
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55502
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56494
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56320
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55320
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58263
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55887
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55786
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56953
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56295
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,57642
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58079
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,57038
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56978
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,57413
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56347
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58790
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,57811
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,57263
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55703
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56173
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58987
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,57337
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55813
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,53328
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,57103
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58667
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56850
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,53861
9vf0d1rfxkaybkpoldqq,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56730
