dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,106597,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,46835,1202641,54356,105152436,106456283
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,2,NA,100.0,114649,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,46634,1199199,52869,82595317,83894033
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,3,NA,100.0,99869,1458,AllOperatorsNoFKANormalisedWithClassifiers,1361,1437,mutantTiming,true,46540,1200683,53537,106885235,108186010
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,4,NA,100.0,102981,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,48128,1204010,54523,82458761,83765441
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,5,NA,100.0,108437,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,47041,1195733,54098,107235146,108532030
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,6,NA,100.0,102610,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1437,mutantTiming,true,48252,1186354,54648,82408650,83697919
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,7,NA,100.0,106483,1458,AllOperatorsNoFKANormalisedWithClassifiers,1361,1437,mutantTiming,true,48503,1171669,54155,106996154,108270496
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,8,NA,100.0,98602,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,46337,1211548,52772,82432089,83742761
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,9,NA,100.0,100057,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,49929,1189749,52837,106265432,107557961
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,10,NA,100.0,92889,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,44764,1211978,52664,82241020,83550440
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,11,NA,100.0,96453,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,47594,1200372,52465,106035441,107335886
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,12,NA,100.0,94982,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,45313,1213791,51585,82325172,83635879
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,13,NA,100.0,100881,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,46345,1189307,52954,106401332,107689953
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,14,NA,100.0,97024,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,45043,1196211,51359,82238533,83531160
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,15,NA,100.0,104523,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,48923,1186464,52045,106209790,107497236
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,16,NA,100.0,100035,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,45212,1186388,50471,82284940,83567026
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,17,NA,100.0,97731,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,45041,1182194,51127,105452493,106730868
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,18,NA,100.0,98509,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,46483,1177896,51940,82212930,83489263
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,19,NA,100.0,97751,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,48338,1196157,53379,104096411,105394300
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,20,NA,100.0,98342,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,47714,1193486,54014,82312022,83607251
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,21,NA,100.0,106852,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,48511,1198411,54725,103767760,105069421
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,22,NA,100.0,104185,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,45253,1192274,53392,82346269,83637204
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,23,NA,100.0,105476,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,47757,1183027,51035,82670039,83951870
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,24,NA,100.0,106104,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,47658,1181066,55031,82529624,83813395
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,25,NA,100.0,104723,1458,AllOperatorsNoFKANormalisedWithClassifiers,1357,1437,mutantTiming,true,45974,1189890,53828,82972719,84262425
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,26,NA,100.0,99615,1458,AllOperatorsNoFKANormalisedWithClassifiers,1358,1437,mutantTiming,true,49518,1198677,52341,82644308,83944859
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,27,NA,100.0,102893,1458,AllOperatorsNoFKANormalisedWithClassifiers,1359,1437,mutantTiming,true,46017,1212459,52202,84437930,85748623
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,28,NA,100.0,108316,1458,AllOperatorsNoFKANormalisedWithClassifiers,1356,1437,mutantTiming,true,47967,1204184,54155,82545065,83851385
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,29,NA,100.0,97061,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,45080,1182376,55160,86029813,87312444
Postgres,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,30,NA,100.0,99208,1458,AllOperatorsNoFKANormalisedWithClassifiers,1360,1437,mutantTiming,true,45946,1197318,50517,95102033,96395830
