dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
Postgres,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,64,18,AllOperatorsNoFKANormalisedWithClassifiers,10,12,mutantTiming,true,955,64,777,8463,10271
Postgres,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,133,40,AllOperatorsNoFKANormalisedWithClassifiers,20,26,mutantTiming,true,2525,125,2281,47328,52274
Postgres,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,71,31,AllOperatorsNoFKANormalisedWithClassifiers,25,30,mutantTiming,true,1259,124,1107,29141,31642
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,99.25373134328358,200559,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8410,4184,8249,1655434,1676291
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,249,72,AllOperatorsNoFKANormalisedWithClassifiers,79,85,mutantTiming,true,3166,362,2762,203012,209316
Postgres,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,64,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,1132,113,1086,30392,32736
Postgres,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,194,77,AllOperatorsNoFKANormalisedWithClassifiers,51,61,mutantTiming,true,4441,285,3972,184833,193546
Postgres,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,856,120,AllOperatorsNoFKANormalisedWithClassifiers,80,96,mutantTiming,true,7993,737,7896,513592,530231
Postgres,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,327,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,3987,1452,3754,597375,606584
Postgres,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,480,35,AllOperatorsNoFKANormalisedWithClassifiers,42,45,mutantTiming,true,1022,154,736,29231,31153
Postgres,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,322,103,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,4000,618,3498,315195,323324
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,823,66,AllOperatorsNoFKANormalisedWithClassifiers,44,48,mutantTiming,true,2378,225,2073,90832,95521
Postgres,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,792,53,AllOperatorsNoFKANormalisedWithClassifiers,95,106,mutantTiming,true,3027,444,2639,229763,235890
