dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
Postgres,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,64,18,AllOperatorsNoFKANormalisedWithClassifiers,10,12,mutantTiming,true,983,57,741,8181,9974
Postgres,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,133,40,AllOperatorsNoFKANormalisedWithClassifiers,20,26,mutantTiming,true,2471,110,2173,48065,52831
Postgres,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,71,31,AllOperatorsNoFKANormalisedWithClassifiers,25,30,mutantTiming,true,1307,122,1118,29662,32222
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,dravm,1,NA,99.25373134328358,200599,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,8893,4163,7387,1651079,1671537
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,372,72,AllOperatorsNoFKANormalisedWithClassifiers,78,85,mutantTiming,true,3225,329,2970,204940,211477
Postgres,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,64,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,1158,94,871,29593,31727
Postgres,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,194,77,AllOperatorsNoFKANormalisedWithClassifiers,51,61,mutantTiming,true,4412,323,4069,183574,192407
Postgres,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,1275,120,AllOperatorsNoFKANormalisedWithClassifiers,80,96,mutantTiming,true,8203,736,7848,517792,534593
Postgres,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,327,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,4005,1427,3871,595612,604928
Postgres,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,323,35,AllOperatorsNoFKANormalisedWithClassifiers,42,45,mutantTiming,true,1024,126,881,29244,31284
Postgres,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,840,103,AllOperatorsNoFKANormalisedWithClassifiers,109,114,mutantTiming,true,4099,543,3514,312370,320540
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,704,66,AllOperatorsNoFKANormalisedWithClassifiers,44,48,mutantTiming,true,2469,222,2043,89401,94147
Postgres,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,792,53,AllOperatorsNoFKANormalisedWithClassifiers,95,106,mutantTiming,true,2859,494,2588,233974,239931
Postgres,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,28,16,AllOperatorsNoFKANormalisedWithClassifiers,19,21,mutantTiming,true,687,78,437,9796,11009
Postgres,parsedcasestudy.Iso3166,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,17,9,AllOperatorsNoFKANormalisedWithClassifiers,9,11,mutantTiming,true,444,53,237,2794,3538
Postgres,parsedcasestudy.IsoFlav_R2Repaired,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,278,177,AllOperatorsNoFKANormalisedWithClassifiers,219,219,mutantTiming,true,5001,1955,4911,1061998,1073878
Postgres,parsedcasestudy.JWhoisServer,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,289,152,AllOperatorsNoFKANormalisedWithClassifiers,178,190,mutantTiming,true,4600,2113,3596,694606,704928
Postgres,parsedcasestudy.MozillaExtensions,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,368,226,AllOperatorsNoFKANormalisedWithClassifiers,360,364,mutantTiming,true,6733,5419,6138,2205358,2223661
Postgres,parsedcasestudy.MozillaPermissions,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,51,32,AllOperatorsNoFKANormalisedWithClassifiers,29,31,mutantTiming,true,1043,90,850,25432,27426
Postgres,parsedcasestudy.NistDML181,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,79,37,AllOperatorsNoFKANormalisedWithClassifiers,18,20,mutantTiming,true,1497,95,1329,23237,26170
Postgres,parsedcasestudy.NistDML182,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,323,176,AllOperatorsNoFKANormalisedWithClassifiers,66,81,mutantTiming,true,5745,1622,5410,369986,382776
Postgres,parsedcasestudy.NistDML183,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,65,34,AllOperatorsNoFKANormalisedWithClassifiers,20,20,mutantTiming,true,2169,91,1274,20350,23895
Postgres,parsedcasestudy.NistWeather,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,1744,52,AllOperatorsNoFKANormalisedWithClassifiers,31,35,mutantTiming,true,2197,177,1555,50891,54831
Postgres,parsedcasestudy.NistXTS748,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,93,16,AllOperatorsNoFKANormalisedWithClassifiers,18,19,mutantTiming,true,620,72,368,6785,7857
Postgres,parsedcasestudy.NistXTS749,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,151,37,AllOperatorsNoFKANormalisedWithClassifiers,21,26,mutantTiming,true,1750,122,1286,30838,34009
Postgres,parsedcasestudy.Person,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,1097,19,AllOperatorsNoFKANormalisedWithClassifiers,20,23,mutantTiming,true,846,108,465,9662,11094
Postgres,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,dravm,1,NA,97.87234042553192,101557,46,AllOperatorsNoFKANormalisedWithClassifiers,41,53,mutantTiming,true,3271,219,1971,75345,80818
Postgres,parsedcasestudy.RiskIt,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,930,245,AllOperatorsNoFKANormalisedWithClassifiers,187,209,mutantTiming,true,11731,4085,11041,1922365,1949236
Postgres,parsedcasestudy.StackOverflow,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,273,171,AllOperatorsNoFKANormalisedWithClassifiers,129,129,mutantTiming,true,4281,653,4213,523744,532904
Postgres,parsedcasestudy.StudentResidence,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,300,30,AllOperatorsNoFKANormalisedWithClassifiers,35,40,mutantTiming,true,1485,155,1018,32501,35171
Postgres,parsedcasestudy.UnixUsage,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,464,147,AllOperatorsNoFKANormalisedWithClassifiers,86,100,mutantTiming,true,11035,896,10197,704580,726722
Postgres,parsedcasestudy.Usda,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,425,247,AllOperatorsNoFKANormalisedWithClassifiers,201,201,mutantTiming,true,6284,2439,5543,1134214,1148493
Postgres,parsedcasestudy.WordNet,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,231,127,AllOperatorsNoFKANormalisedWithClassifiers,87,107,mutantTiming,true,3593,668,3315,364541,372130
Postgres,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,55,18,AllOperatorsNoFKANormalisedWithClassifiers,10,12,mutantTiming,true,1005,56,851,8873,10796
Postgres,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,122,40,AllOperatorsNoFKANormalisedWithClassifiers,20,26,mutantTiming,true,2563,101,2323,48945,53944
Postgres,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,90,31,AllOperatorsNoFKANormalisedWithClassifiers,25,30,mutantTiming,true,1276,102,1238,29477,32105
Postgres,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,dravm,2,NA,99.25373134328358,200568,266,AllOperatorsNoFKANormalisedWithClassifiers,210,235,mutantTiming,true,9271,4126,8349,1660429,1682188
Postgres,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,371,72,AllOperatorsNoFKANormalisedWithClassifiers,79,85,mutantTiming,true,3244,372,2835,201306,207772
Postgres,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,66,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,1115,95,886,28392,30500
Postgres,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,189,77,AllOperatorsNoFKANormalisedWithClassifiers,51,61,mutantTiming,true,4666,296,3862,183933,192770
Postgres,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,1324,120,AllOperatorsNoFKANormalisedWithClassifiers,80,96,mutantTiming,true,8068,718,7523,520269,536592
Postgres,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,311,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,4255,1435,3621,595093,604417
Postgres,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,391,35,AllOperatorsNoFKANormalisedWithClassifiers,42,45,mutantTiming,true,1057,159,706,28172,30104
Postgres,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,702,103,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,4043,549,3725,308645,316977
Postgres,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,969,66,AllOperatorsNoFKANormalisedWithClassifiers,44,48,mutantTiming,true,2485,223,2075,90407,95206
Postgres,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,1414,53,AllOperatorsNoFKANormalisedWithClassifiers,94,106,mutantTiming,true,2969,528,2621,234026,240157
Postgres,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,27,16,AllOperatorsNoFKANormalisedWithClassifiers,19,21,mutantTiming,true,707,81,434,9703,10936
Postgres,parsedcasestudy.Iso3166,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,16,9,AllOperatorsNoFKANormalisedWithClassifiers,9,11,mutantTiming,true,463,53,245,3035,3808
Postgres,parsedcasestudy.IsoFlav_R2Repaired,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,284,177,AllOperatorsNoFKANormalisedWithClassifiers,218,219,mutantTiming,true,5067,1895,4679,1059296,1070951
Postgres,parsedcasestudy.JWhoisServer,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,286,152,AllOperatorsNoFKANormalisedWithClassifiers,178,190,mutantTiming,true,4238,2208,3465,692638,702563
Postgres,parsedcasestudy.MozillaExtensions,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,378,226,AllOperatorsNoFKANormalisedWithClassifiers,360,364,mutantTiming,true,7616,5416,6043,2207681,2226770
Postgres,parsedcasestudy.MozillaPermissions,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,53,32,AllOperatorsNoFKANormalisedWithClassifiers,29,31,mutantTiming,true,1025,93,763,24810,26704
Postgres,parsedcasestudy.NistDML181,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,71,37,AllOperatorsNoFKANormalisedWithClassifiers,18,20,mutantTiming,true,1470,91,1716,22428,25716
Postgres,parsedcasestudy.NistDML182,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,324,176,AllOperatorsNoFKANormalisedWithClassifiers,66,81,mutantTiming,true,5696,1495,5471,368658,381334
Postgres,parsedcasestudy.NistDML183,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,66,34,AllOperatorsNoFKANormalisedWithClassifiers,20,20,mutantTiming,true,1464,78,1112,20384,23050
Postgres,parsedcasestudy.NistWeather,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,1341,52,AllOperatorsNoFKANormalisedWithClassifiers,31,35,mutantTiming,true,1927,145,1596,52566,56245
Postgres,parsedcasestudy.NistXTS748,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,78,16,AllOperatorsNoFKANormalisedWithClassifiers,18,19,mutantTiming,true,673,76,398,6994,8151
