dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,164751,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,40203,1134346,1716,2265427,3441704
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,2,NA,100.0,164127,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,40045,1139254,1649,2299193,3480152
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,3,NA,100.0,175850,1517,AllOperatorsNoFKANormalisedWithClassifiers,1420,1458,mutantTiming,true,45637,1131125,1697,2280835,3459306
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,4,NA,100.0,191448,1517,AllOperatorsNoFKANormalisedWithClassifiers,1414,1458,mutantTiming,true,50166,1128498,1660,2280756,3461090
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,5,NA,100.0,167218,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,42569,1119925,1664,2280585,3444754
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,6,NA,100.0,183682,1517,AllOperatorsNoFKANormalisedWithClassifiers,1419,1458,mutantTiming,true,44601,1132617,1697,2266669,3445595
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,7,NA,100.0,166137,1517,AllOperatorsNoFKANormalisedWithClassifiers,1419,1458,mutantTiming,true,41713,1128935,1672,2281053,3453384
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,8,NA,100.0,166732,1517,AllOperatorsNoFKANormalisedWithClassifiers,1415,1458,mutantTiming,true,43265,1125802,1661,2268438,3439178
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,9,NA,100.0,167965,1517,AllOperatorsNoFKANormalisedWithClassifiers,1413,1458,mutantTiming,true,40545,1139548,1689,2300318,3482113
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,10,NA,100.0,171478,1517,AllOperatorsNoFKANormalisedWithClassifiers,1415,1458,mutantTiming,true,44811,1104707,1653,2262318,3413499
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,avs,11,NA,100.0,191276,1517,AllOperatorsNoFKANormalisedWithClassifiers,1415,1458,mutantTiming,true,50063,1140381,1691,2252427,3444572
