dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
SQLite,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,2095,19,AllOperatorsNoFKANormalisedWithClassifiers,12,13,mutantTiming,true,1093,102,13,128,1349
SQLite,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,3297,43,AllOperatorsNoFKANormalisedWithClassifiers,26,29,mutantTiming,true,1012,106,21,540,1690
SQLite,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1772,37,AllOperatorsNoFKANormalisedWithClassifiers,39,42,mutantTiming,true,610,126,16,438,1203
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,1,NA,99.2619926199262,204760,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4904,4027,168,34963,44074
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,83616,71,AllOperatorsNoFKANormalisedWithClassifiers,111,114,mutantTiming,true,10195,379,26,2131,12741
SQLite,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,855,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,365,79,11,281,747
SQLite,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,3465,90,AllOperatorsNoFKANormalisedWithClassifiers,96,101,mutantTiming,true,956,428,63,3237,4700
SQLite,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,23575,126,AllOperatorsNoFKANormalisedWithClassifiers,174,183,mutantTiming,true,3153,1382,81,9439,14066
SQLite,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,9313,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,1346,1328,61,8594,11341
SQLite,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1392,38,AllOperatorsNoFKANormalisedWithClassifiers,43,45,mutantTiming,true,613,176,13,348,1162
SQLite,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,6572,107,AllOperatorsNoFKANormalisedWithClassifiers,136,138,mutantTiming,true,1480,844,54,4365,6757
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,1,NA,96.7741935483871,231481,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,23677,327,26,1457,25499
SQLite,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,8106,53,AllOperatorsNoFKANormalisedWithClassifiers,117,128,mutantTiming,true,1966,446,25,2286,4737
SQLite,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,285,18,AllOperatorsNoFKANormalisedWithClassifiers,20,21,mutantTiming,true,407,72,7,97,593
SQLite,parsedcasestudy.Iso3166,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,256,12,AllOperatorsNoFKANormalisedWithClassifiers,10,11,mutantTiming,true,345,48,5,41,448
SQLite,parsedcasestudy.IsoFlav_R2Repaired,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,7600,177,AllOperatorsNoFKANormalisedWithClassifiers,216,219,mutantTiming,true,1053,1603,52,9686,12407
SQLite,parsedcasestudy.JWhoisServer,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,11160,158,AllOperatorsNoFKANormalisedWithClassifiers,180,190,mutantTiming,true,1887,1969,57,8870,12797
SQLite,parsedcasestudy.MozillaExtensions,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,14147,229,AllOperatorsNoFKANormalisedWithClassifiers,361,364,mutantTiming,true,1617,5279,78,26233,33220
SQLite,parsedcasestudy.MozillaPermissions,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,756,33,AllOperatorsNoFKANormalisedWithClassifiers,30,31,mutantTiming,true,407,87,9,222,736
SQLite,parsedcasestudy.NistDML181,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,1138,38,AllOperatorsNoFKANormalisedWithClassifiers,33,33,mutantTiming,true,489,121,20,357,998
