identifier,dbms,schema,operator,type,killed,time
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCNullifier,NORMAL,true,31
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCNullifier,NORMAL,true,25
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,24
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,24
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,27
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,23
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,false,23
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,23
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,false,23
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,18
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,22
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,22
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,17
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,CCRelationalExpressionOperatorE,NORMAL,true,18
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairR,IMPAIRED,true,11
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairR,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,17
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,17
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,35
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,28
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,27
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,26
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,IMPAIRED,true,15
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,IMPAIRED,true,16
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,IMPAIRED,true,14
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,17
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,17
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,17
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,17
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,17
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,NORMAL,true,17
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,FKCColumnPairE,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,NORMAL,true,21
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,NORMAL,true,21
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,NORMAL,true,21
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,NORMAL,true,21
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnR,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnR,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnR,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,IMPAIRED,true,10
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,IMPAIRED,true,9
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,IMPAIRED,true,9
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,IMPAIRED,true,9
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,PKCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCA,NORMAL,true,25
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCA,NORMAL,true,18
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCR,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCR,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCR,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,NNCR,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,EQUIVALENT,false,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,20
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,DUPLICATE,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnA,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnR,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnR,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnR,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,DUPLICATE,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,DUPLICATE,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
h2ersbckcduyvxtlciof,SQLite,BrowserCookies,UCColumnE,NORMAL,true,19
