dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,1,NA,100.0,83616,71,AllOperatorsNoFKANormalisedWithClassifiers,111,114,mutantTiming,true,10297,516,35,2173,13034,0
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,1,NA,96.7741935483871,231481,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,23338,372,27,1459,25207,19786
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,2,NA,98.59154929577466,113991,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,13679,422,33,2148,16293,11179
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,2,NA,96.7741935483871,212609,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,21112,341,27,1506,22995,19456
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,3,NA,98.59154929577466,121641,70,AllOperatorsNoFKANormalisedWithClassifiers,109,114,mutantTiming,true,14786,410,24,2079,17309,11034
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,3,NA,96.7741935483871,280151,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,27236,322,25,1435,29029,19363
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,4,NA,97.1830985915493,207115,69,AllOperatorsNoFKANormalisedWithClassifiers,109,114,mutantTiming,true,24776,464,23,2189,27466,23190
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,4,NA,96.7741935483871,229849,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,22835,330,29,1489,24694,19539
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,5,NA,98.59154929577466,176700,70,AllOperatorsNoFKANormalisedWithClassifiers,109,114,mutantTiming,true,20123,403,24,2083,22644,11354
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,5,NA,96.7741935483871,221413,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,21867,347,29,1455,23708,19420
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,6,NA,98.59154929577466,131685,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,15573,441,30,2379,18433,11450
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,6,NA,96.7741935483871,252398,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,24420,334,25,1537,26329,19128
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,7,NA,98.59154929577466,138013,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,15518,412,27,2103,18074,11029
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,7,NA,96.7741935483871,207697,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,19859,381,28,1476,21755,18728
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,8,NA,98.59154929577466,123083,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,14622,412,24,2072,17139,11392
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,8,NA,96.7741935483871,254894,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,25404,332,25,1436,27207,19726
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,9,NA,98.59154929577466,161366,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,19173,412,30,2023,21649,11147
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,9,NA,96.7741935483871,299691,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,30578,344,27,1426,32385,19986
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,10,NA,98.59154929577466,140362,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,16331,381,24,2071,18817,11414
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,10,NA,98.38709677419355,256573,61,AllOperatorsNoFKANormalisedWithClassifiers,84,84,mutantTiming,true,25371,331,36,1463,27212,9867
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,11,NA,98.59154929577466,134237,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,15839,408,24,2062,18344,11508
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,11,NA,96.7741935483871,252435,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,24540,310,26,1442,26329,19218
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,12,NA,98.59154929577466,121664,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,14478,393,27,2073,16981,10868
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,12,NA,96.7741935483871,247118,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,25498,326,35,1551,27421,20433
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,13,NA,100.0,88304,71,AllOperatorsNoFKANormalisedWithClassifiers,111,114,mutantTiming,true,11639,429,35,2199,14312,0
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,13,NA,96.7741935483871,235328,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,23843,327,26,1454,25661,19913
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,14,NA,100.0,74355,71,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,9046,439,26,2132,11653,0
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,14,NA,96.7741935483871,232349,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,23780,332,25,1478,25626,20209
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,15,NA,98.59154929577466,134099,70,AllOperatorsNoFKANormalisedWithClassifiers,105,114,mutantTiming,true,16088,431,23,2102,18653,10939
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,15,NA,96.7741935483871,210958,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,21686,340,28,1462,23527,20179
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,16,NA,98.59154929577466,112713,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,13535,431,24,2035,16035,11222
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,16,NA,96.7741935483871,250787,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,25262,353,26,1477,27128,19755
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,17,NA,98.59154929577466,111536,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,12617,407,27,2161,15223,10712
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,17,NA,98.38709677419355,179887,61,AllOperatorsNoFKANormalisedWithClassifiers,84,84,mutantTiming,true,17660,408,38,1516,19633,9367
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,18,NA,97.1830985915493,211761,69,AllOperatorsNoFKANormalisedWithClassifiers,106,114,mutantTiming,true,24977,397,24,2024,27432,23010
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,18,NA,96.7741935483871,250694,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,24931,368,36,2062,27410,19840
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,19,NA,98.59154929577466,119931,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,13994,424,30,2243,16702,11179
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,19,NA,96.7741935483871,248266,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,24570,333,34,1452,26402,19731
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,20,NA,98.59154929577466,163720,70,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,19086,394,25,2097,21612,11463
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,20,NA,96.7741935483871,228726,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,21976,323,30,1459,23799,18856
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,21,NA,98.59154929577466,177973,70,AllOperatorsNoFKANormalisedWithClassifiers,109,114,mutantTiming,true,20115,427,24,2124,22702,11353
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,21,NA,96.7741935483871,237286,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,23832,326,26,1465,25658,19761
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,22,NA,100.0,49522,71,AllOperatorsNoFKANormalisedWithClassifiers,106,114,mutantTiming,true,6748,414,34,2133,9340,0
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,22,NA,96.7741935483871,237115,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,23336,387,36,1457,25229,19435
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,23,NA,98.59154929577466,128886,70,AllOperatorsNoFKANormalisedWithClassifiers,109,114,mutantTiming,true,15460,434,24,2369,18297,10959
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,23,NA,96.7741935483871,231206,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,23014,353,25,1474,24876,19622
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,avs,24,NA,100.0,132079,71,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,14623,418,24,2430,17505,0
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,avs,24,NA,96.7741935483871,231933,60,AllOperatorsNoFKANormalisedWithClassifiers,82,84,mutantTiming,true,22250,332,28,1447,24067,18889
