identifier,dbms,schema,operator,type,killed,time
a9xykozjcatv8woxqviq,SQLite,BookTown,CCNullifier,NORMAL,true,151
a9xykozjcatv8woxqviq,SQLite,BookTown,CCNullifier,NORMAL,true,133
a9xykozjcatv8woxqviq,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,134
a9xykozjcatv8woxqviq,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,133
a9xykozjcatv8woxqviq,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,131
a9xykozjcatv8woxqviq,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,135
a9xykozjcatv8woxqviq,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,222
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,151
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,135
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,135
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,132
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,132
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,132
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,132
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,133
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,131
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,DUPLICATE,true,135
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,131
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,131
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,NORMAL,true,130
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,DUPLICATE,true,131
a9xykozjcatv8woxqviq,SQLite,BookTown,PKCColumnA,DUPLICATE,true,131
