dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,1,NA,99.2619926199262,204760,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4982,3910,154,34591,43650,4061
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,1,NA,98.11320754716981,104436,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5093,248,21,1097,6473,3881
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,2,NA,99.2619926199262,205049,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,5074,3983,162,35207,44438,4023
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,2,NA,98.11320754716981,103902,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5538,231,29,1037,6849,4167
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,3,NA,99.2619926199262,204067,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4833,4003,162,34762,43773,3890
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,3,NA,98.11320754716981,102246,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,4876,243,23,980,6133,4053
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,4,NA,99.2619926199262,204746,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,6257,3974,166,34716,45124,5306
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,4,NA,98.11320754716981,108616,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5536,255,26,1034,6862,3645
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,5,NA,99.2619926199262,204520,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4847,3778,155,34405,43196,3925
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,5,NA,98.11320754716981,104172,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5311,265,23,980,6590,4144
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,6,NA,99.2619926199262,204973,269,AllOperatorsNoFKANormalisedWithClassifiers,219,235,mutantTiming,true,5012,3918,178,36236,45357,3997
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,6,NA,98.11320754716981,105898,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5172,259,31,1447,6920,3698
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,7,NA,99.2619926199262,205158,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,5336,3960,181,35626,45114,4336
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,7,NA,98.11320754716981,104168,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5918,221,29,993,7175,4613
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,8,NA,99.2619926199262,204639,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4919,4060,165,35877,45035,3991
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,8,NA,98.11320754716981,103933,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5382,255,30,1015,6695,4054
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avs,9,NA,99.2619926199262,204427,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4940,3892,152,34814,43810,4039
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avs,9,NA,98.11320754716981,104890,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5213,253,32,1047,6557,3730
