identifier,dbms,schema,operator,type,killed,time
ohgh7p5tcimhjrdebobp,SQLite,BookTown,CCNullifier,NORMAL,true,164
ohgh7p5tcimhjrdebobp,SQLite,BookTown,CCNullifier,NORMAL,true,154
ohgh7p5tcimhjrdebobp,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,142
ohgh7p5tcimhjrdebobp,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,144
ohgh7p5tcimhjrdebobp,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,141
ohgh7p5tcimhjrdebobp,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,142
ohgh7p5tcimhjrdebobp,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,140
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,143
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,143
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,142
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,140
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,141
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,140
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,139
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,138
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,131
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,139
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,131
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,133
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,131
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,386
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,131
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,131
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,131
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,134
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,128
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,128
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,128
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,NORMAL,false,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,130
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,129
ohgh7p5tcimhjrdebobp,SQLite,BookTown,PKCColumnA,DUPLICATE,true,129
