dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,99.2619926199262,201168,269,AllOperatorsNoFKANormalisedWithClassifiers,194,235,mutantTiming,true,4791,3976,171,34449,43397,4131
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,98.11320754716981,106706,52,AllOperatorsNoFKANormalisedWithClassifiers,58,67,mutantTiming,true,5407,227,23,980,6649,3692
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,99.2619926199262,201168,269,AllOperatorsNoFKANormalisedWithClassifiers,194,235,mutantTiming,true,4926,4016,164,33914,43031,4300
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,98.11320754716981,105027,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5222,317,31,1013,6596,3758
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,3,NA,99.2619926199262,201168,269,AllOperatorsNoFKANormalisedWithClassifiers,194,235,mutantTiming,true,4771,3997,163,33436,42378,4137
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,3,NA,98.11320754716981,103394,52,AllOperatorsNoFKANormalisedWithClassifiers,58,67,mutantTiming,true,5153,239,32,1043,6481,3959
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,4,NA,99.2619926199262,201168,269,AllOperatorsNoFKANormalisedWithClassifiers,194,235,mutantTiming,true,4752,4001,153,35033,43949,4145
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,4,NA,98.11320754716981,107221,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5319,228,29,982,6570,3503
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,5,NA,99.2619926199262,201168,269,AllOperatorsNoFKANormalisedWithClassifiers,194,235,mutantTiming,true,4886,3986,152,33420,42456,4240
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,5,NA,98.11320754716981,104370,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5144,266,29,1007,6458,3850
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,6,NA,99.2619926199262,201168,269,AllOperatorsNoFKANormalisedWithClassifiers,194,235,mutantTiming,true,4719,4082,174,35628,44613,4061
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,6,NA,98.11320754716981,105359,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,5092,235,23,1045,6406,3543
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,7,NA,99.2619926199262,201168,269,AllOperatorsNoFKANormalisedWithClassifiers,194,235,mutantTiming,true,4840,3963,145,33935,42893,4188
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,avsDefaults,7,NA,98.11320754716981,104333,52,AllOperatorsNoFKANormalisedWithClassifiers,58,67,mutantTiming,true,5591,254,33,998,6892,4191
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,8,NA,99.2619926199262,201168,269,AllOperatorsNoFKANormalisedWithClassifiers,194,235,mutantTiming,true,4989,4022,171,34712,43905,4332
