dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,3412,1517,AllOperatorsNoFKANormalisedWithClassifiers,1417,1458,mutantTiming,true,4530,1116541,1666,2272982,3395729
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,2,NA,100.0,3517,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4525,1128383,1665,2279768,3414352
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,3,NA,100.0,3513,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4431,1138343,1641,2283221,3427648
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,4,NA,100.0,3546,1517,AllOperatorsNoFKANormalisedWithClassifiers,1421,1458,mutantTiming,true,4514,1131791,1682,2290109,3428106
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,5,NA,100.0,3341,1517,AllOperatorsNoFKANormalisedWithClassifiers,1411,1458,mutantTiming,true,4587,1136015,1653,2279595,3421861
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,6,NA,100.0,3932,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4466,1131065,1645,2290753,3427940
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,7,NA,100.0,3393,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4631,1125724,1701,2264038,3396105
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,8,NA,100.0,3471,1517,AllOperatorsNoFKANormalisedWithClassifiers,1413,1458,mutantTiming,true,4662,1126259,1674,2261088,3393693
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,9,NA,100.0,3430,1517,AllOperatorsNoFKANormalisedWithClassifiers,1414,1458,mutantTiming,true,4706,1131090,1670,2272747,3410223
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,10,NA,100.0,3502,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4518,1146496,1679,2285244,3437948
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,11,NA,100.0,3301,1517,AllOperatorsNoFKANormalisedWithClassifiers,1417,1458,mutantTiming,true,4522,1141545,1661,2276704,3424442
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,12,NA,100.0,3418,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4472,1120442,1658,2270007,3396590
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,concentroAVS,13,NA,100.0,3373,1517,AllOperatorsNoFKANormalisedWithClassifiers,1425,1458,mutantTiming,true,4610,1120030,1659,2268415,3394726
