dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
SQLite,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,57,19,AllOperatorsNoFKANormalisedWithClassifiers,12,13,mutantTiming,true,300,66,13,93,482
SQLite,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,136,43,AllOperatorsNoFKANormalisedWithClassifiers,26,29,mutantTiming,true,343,102,23,515,993
SQLite,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,105,37,AllOperatorsNoFKANormalisedWithClassifiers,39,42,mutantTiming,true,320,119,15,441,905
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,99.2619926199262,200494,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4057,4209,197,35414,43890
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,357,71,AllOperatorsNoFKANormalisedWithClassifiers,109,114,mutantTiming,true,482,456,35,2415,3402
SQLite,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,64,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,303,95,12,270,690
SQLite,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,224,90,AllOperatorsNoFKANormalisedWithClassifiers,94,101,mutantTiming,true,398,425,43,2876,3753
SQLite,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,1004,126,AllOperatorsNoFKANormalisedWithClassifiers,174,183,mutantTiming,true,626,1460,89,9500,11687
SQLite,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,327,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,514,1387,79,8019,10013
SQLite,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,100.0,102,38,AllOperatorsNoFKANormalisedWithClassifiers,42,45,mutantTiming,true,349,133,11,341,845
