identifier,dbms,schema,operator,type,killed,time
9vughskpszjttoncz91q,SQLite,BookTown,CCNullifier,NORMAL,true,163
9vughskpszjttoncz91q,SQLite,BookTown,CCNullifier,NORMAL,true,155
9vughskpszjttoncz91q,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,148
9vughskpszjttoncz91q,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,142
9vughskpszjttoncz91q,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,142
9vughskpszjttoncz91q,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,144
9vughskpszjttoncz91q,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,142
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,143
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,143
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,148
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,139
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,146
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,140
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,138
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,138
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,123
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,126
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,125
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,131
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,137
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,136
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,136
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,138
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,135
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,136
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,137
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,135
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,138
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,135
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,165
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,183
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,182
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,183
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,182
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,183
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,181
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,181
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,181
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,183
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,184
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,184
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,182
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,181
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,181
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,167
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,DUPLICATE,true,164
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,142
9vughskpszjttoncz91q,SQLite,BookTown,PKCColumnA,NORMAL,true,124
