dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,99.2619926199262,200494,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4288,4178,178,35775,44430,3706
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,1,NA,98.11320754716981,101632,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2377,268,20,1239,3914,1884
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,2,NA,99.2619926199262,200499,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4583,4071,166,34297,43127,3976
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,2,NA,98.11320754716981,101605,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2476,254,25,986,3751,1937
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,3,NA,99.2619926199262,200534,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4099,3987,168,34881,43146,3485
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,3,NA,98.11320754716981,101470,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2464,272,31,940,3720,1872
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,4,NA,99.2619926199262,200494,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4279,4322,180,35588,44379,3694
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,4,NA,98.11320754716981,101514,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2350,283,30,1061,3738,1833
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,5,NA,99.2619926199262,200507,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4263,4022,173,36962,45429,3656
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,5,NA,98.11320754716981,101220,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2781,334,41,1043,4211,2197
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,6,NA,99.2619926199262,200510,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,4228,4235,168,35407,44047,3638
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,6,NA,98.11320754716981,100985,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2085,262,25,1000,3383,1609
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,7,NA,99.2619926199262,200537,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4416,4066,151,35064,43706,3801
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,7,NA,98.11320754716981,101529,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2708,314,31,984,4052,2197
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,8,NA,99.2619926199262,200489,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4189,4126,169,35276,43770,3590
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,8,NA,98.11320754716981,100914,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2122,281,32,954,3399,1646
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,9,NA,99.2619926199262,200467,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4260,4167,173,37882,46492,3649
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroAVS,9,NA,98.11320754716981,101488,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,2325,270,32,1007,3649,1798
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroAVS,10,NA,99.2619926199262,200514,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,4526,4216,160,35910,44822,3909
