identifier,dbms,schema,operator,type,killed,time
wsz3esgevdu8w69stxr2,SQLite,BookTown,CCNullifier,NORMAL,true,170
wsz3esgevdu8w69stxr2,SQLite,BookTown,CCNullifier,NORMAL,true,153
wsz3esgevdu8w69stxr2,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,143
wsz3esgevdu8w69stxr2,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,144
wsz3esgevdu8w69stxr2,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,135
wsz3esgevdu8w69stxr2,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,false,147
wsz3esgevdu8w69stxr2,SQLite,BookTown,CCRelationalExpressionOperatorE,NORMAL,true,142
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,144
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,144
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,141
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,141
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,150
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,141
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,133
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,124
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,126
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,126
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,128
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,140
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,141
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,134
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,140
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,140
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,140
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,140
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,135
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,DUPLICATE,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnA,NORMAL,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,142
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,143
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnR,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,139
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,140
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,136
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,2775
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,137
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,133
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,133
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,133
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,141
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,142
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,140
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,138
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,132
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,131
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,133
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,132
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,133
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,130
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,131
wsz3esgevdu8w69stxr2,SQLite,BookTown,PKCColumnE,NORMAL,true,133
wsz3esgevdu8w69stxr2,SQLite,BookTown,NNCA,NORMAL,true,129
wsz3esgevdu8w69stxr2,SQLite,BookTown,NNCA,NORMAL,true,131
wsz3esgevdu8w69stxr2,SQLite,BookTown,NNCA,NORMAL,true,131
wsz3esgevdu8w69stxr2,SQLite,BookTown,NNCA,NORMAL,true,130
wsz3esgevdu8w69stxr2,SQLite,BookTown,NNCA,NORMAL,true,132
wsz3esgevdu8w69stxr2,SQLite,BookTown,NNCA,NORMAL,true,132
