dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,failedtestsgenerationtime
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,1,NA,99.2619926199262,200526,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,2257,4180,184,36226,42859,1699
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,1,NA,98.11320754716981,101313,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1484,284,24,1021,2824,1032
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,2,NA,99.2619926199262,200500,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,2215,4022,173,35554,41974,1655
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,2,NA,98.11320754716981,101517,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1411,343,40,1065,2874,957
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,3,NA,99.2619926199262,200524,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,2342,4170,194,35278,41997,1752
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,3,NA,98.11320754716981,101470,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1708,356,37,1037,3153,1240
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,4,NA,99.2619926199262,200526,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,2153,4077,173,35396,41810,1565
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,4,NA,98.11320754716981,102386,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1628,288,28,963,2922,1121
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,5,NA,99.2619926199262,200568,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,2141,4126,173,34748,41199,1556
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,5,NA,98.11320754716981,101652,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1468,301,25,1412,3217,1022
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,6,NA,99.2619926199262,200517,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,2116,4144,158,35388,41817,1559
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,6,NA,98.11320754716981,101462,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1496,264,25,1054,2851,1030
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,7,NA,99.2619926199262,200551,269,AllOperatorsNoFKANormalisedWithClassifiers,218,235,mutantTiming,true,2141,4016,170,34909,41248,1572
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,7,NA,98.11320754716981,102676,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1730,314,33,950,3038,1161
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,8,NA,99.2619926199262,200565,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,2251,4062,173,34810,41307,1682
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,8,NA,98.11320754716981,102054,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1499,259,32,981,2785,1042
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,9,NA,99.2619926199262,200572,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,2177,4141,171,36583,43082,1616
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,9,NA,98.11320754716981,101704,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1568,290,44,1020,2934,1122
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,10,NA,99.2619926199262,200616,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,2171,4291,157,35234,41863,1614
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,10,NA,98.11320754716981,101637,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1375,264,23,1023,2698,933
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,11,NA,99.2619926199262,200576,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,2265,4089,176,35389,41931,1678
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,11,NA,98.11320754716981,101413,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1533,289,30,1086,2949,1037
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,12,NA,99.2619926199262,200574,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,2248,4128,168,35303,41859,1690
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,12,NA,98.11320754716981,101726,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1759,349,45,1189,3360,1266
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,13,NA,99.2619926199262,200536,269,AllOperatorsNoFKANormalisedWithClassifiers,218,235,mutantTiming,true,2224,4147,183,35011,41576,1650
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,13,NA,98.11320754716981,101463,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1517,283,37,1016,2864,1071
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,14,NA,99.2619926199262,200486,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,2100,4199,165,36682,43158,1554
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,14,NA,98.11320754716981,101584,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1530,286,29,1475,3333,1069
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,concentroRandom,15,NA,99.2619926199262,200563,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,2217,4184,175,35282,41869,1647
SQLite,parsedcasestudy.Products,ClauseAICC+AUCC+ANCC,concentroRandom,15,NA,98.11320754716981,102027,52,AllOperatorsNoFKANormalisedWithClassifiers,59,67,mutantTiming,true,1438,256,22,1075,2803,936
