identifier,dbms,schema,operator,type,killed,time
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCNullifier,NORMAL,true,1675
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCNullifier,NORMAL,true,1536
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCNullifier,NORMAL,true,1532
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCNullifier,NORMAL,true,1479
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCNullifier,NORMAL,true,1447
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCNullifier,NORMAL,true,1518
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCNullifier,NORMAL,true,1429
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCNullifier,NORMAL,true,3691
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1586
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1537
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1533
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1535
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1510
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,2101
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1539
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1437
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1383
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1525
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1433
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,3065
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1533
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1416
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1370
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1946
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1534
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1415
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1389
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1881
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1543
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1497
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1389
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1885
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1536
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1423
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1388
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1910
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1532
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1503
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1391
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1946
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1495
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1393
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1819
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1542
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1432
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1380
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1868
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1518
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1376
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1376
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1916
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1521
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1380
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1377
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1953
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1491
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1384
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1808
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1545
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1507
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1507
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1845
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1544
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1458
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1383
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1868
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1529
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1428
befuzjgjqwi2hvjcva2a,SQLite,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,1383
