dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,102467,1517,AllOperatorsNoFKANormalisedWithClassifiers,1421,1458,mutantTiming,true,4597,1125292,1676,2239935,3371510
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,2,NA,100.0,97991,1517,AllOperatorsNoFKANormalisedWithClassifiers,1420,1458,mutantTiming,true,4556,1118098,1667,2267240,3391572
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,3,NA,100.0,104346,1517,AllOperatorsNoFKANormalisedWithClassifiers,1417,1458,mutantTiming,true,4619,1120893,1674,2280873,3408070
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,4,NA,100.0,94497,1517,AllOperatorsNoFKANormalisedWithClassifiers,1415,1458,mutantTiming,true,4557,1114453,1685,2276357,3397063
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,5,NA,100.0,105809,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4632,1126585,1707,2282378,3415314
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,6,NA,100.0,93613,1517,AllOperatorsNoFKANormalisedWithClassifiers,1414,1458,mutantTiming,true,4499,1139495,1734,2270140,3415879
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,7,NA,100.0,101639,1517,AllOperatorsNoFKANormalisedWithClassifiers,1422,1458,mutantTiming,true,4549,1117324,1666,2267214,3390764
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,8,NA,100.0,90760,1517,AllOperatorsNoFKANormalisedWithClassifiers,1422,1458,mutantTiming,true,4431,1115667,1680,2273837,3395626
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,9,NA,100.0,102117,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4639,1123961,1692,2298318,3428621
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,10,NA,100.0,98189,1517,AllOperatorsNoFKANormalisedWithClassifiers,1411,1458,mutantTiming,true,4602,1129518,1667,2286452,3422251
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,11,NA,100.0,105318,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4572,1121790,1654,2252181,3380207
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,12,NA,100.0,95062,1517,AllOperatorsNoFKANormalisedWithClassifiers,1425,1458,mutantTiming,true,4483,1129393,1675,2281280,3416841
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,13,NA,100.0,92294,1517,AllOperatorsNoFKANormalisedWithClassifiers,1411,1458,mutantTiming,true,4407,1121285,1698,2274913,3402314
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,14,NA,100.0,103367,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4715,1135140,1663,2249814,3391343
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,15,NA,100.0,103076,1517,AllOperatorsNoFKANormalisedWithClassifiers,1420,1458,mutantTiming,true,4607,1129169,1643,2286009,3421439
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,16,NA,100.0,100872,1517,AllOperatorsNoFKANormalisedWithClassifiers,1419,1458,mutantTiming,true,4674,1124583,1651,2290344,3421263
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,17,NA,100.0,94116,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4611,1119144,1732,2278700,3404197
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,18,NA,100.0,96081,1517,AllOperatorsNoFKANormalisedWithClassifiers,1419,1458,mutantTiming,true,4490,1127453,1641,2273181,3406775
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,19,NA,100.0,99430,1517,AllOperatorsNoFKANormalisedWithClassifiers,1422,1458,mutantTiming,true,4553,1119586,1687,2263718,3389555
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,20,NA,100.0,96255,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4560,1117798,1741,2281075,3405184
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,21,NA,100.0,100282,1517,AllOperatorsNoFKANormalisedWithClassifiers,1417,1458,mutantTiming,true,4646,1134514,1672,2292187,3433031
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,22,NA,100.0,106177,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4686,1122807,1680,2283410,3412593
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,23,NA,100.0,103159,1517,AllOperatorsNoFKANormalisedWithClassifiers,1415,1458,mutantTiming,true,4520,1137167,1666,2278350,3421714
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,24,NA,100.0,92961,1517,AllOperatorsNoFKANormalisedWithClassifiers,1411,1458,mutantTiming,true,4409,1125958,1726,2284490,3416593
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,25,NA,100.0,101370,1517,AllOperatorsNoFKANormalisedWithClassifiers,1414,1458,mutantTiming,true,4634,1127357,1584,2278381,3411966
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,26,NA,100.0,104749,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4632,1136718,1731,2311725,3454817
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,27,NA,100.0,96302,1517,AllOperatorsNoFKANormalisedWithClassifiers,1419,1458,mutantTiming,true,4490,1118552,1694,2274717,3399466
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,directedRandom,28,NA,100.0,101560,1517,AllOperatorsNoFKANormalisedWithClassifiers,1419,1458,mutantTiming,true,4610,1110094,1696,2285149,3401560
