dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
SQLite,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,57,19,AllOperatorsNoFKANormalisedWithClassifiers,12,13,mutantTiming,true,285,59,9,91,455
SQLite,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,136,43,AllOperatorsNoFKANormalisedWithClassifiers,26,29,mutantTiming,true,331,102,22,518,984
SQLite,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,105,37,AllOperatorsNoFKANormalisedWithClassifiers,39,42,mutantTiming,true,314,125,15,437,901
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,99.2619926199262,200526,269,AllOperatorsNoFKANormalisedWithClassifiers,221,235,mutantTiming,true,1957,4191,192,35321,41672
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,315,71,AllOperatorsNoFKANormalisedWithClassifiers,110,114,mutantTiming,true,439,417,26,2237,3130
SQLite,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,64,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,309,81,12,284,699
SQLite,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,224,90,AllOperatorsNoFKANormalisedWithClassifiers,94,101,mutantTiming,true,390,378,41,2933,3752
SQLite,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,967,126,AllOperatorsNoFKANormalisedWithClassifiers,174,183,mutantTiming,true,539,1490,90,9318,11451
SQLite,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,327,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,503,1297,89,8132,10034
SQLite,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,228,38,AllOperatorsNoFKANormalisedWithClassifiers,43,45,mutantTiming,true,336,124,10,330,809
SQLite,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,333,107,AllOperatorsNoFKANormalisedWithClassifiers,136,138,mutantTiming,true,465,583,43,4259,5360
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,924,62,AllOperatorsNoFKANormalisedWithClassifiers,84,84,mutantTiming,true,432,354,31,1628,2455
SQLite,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,directedRandom,1,NA,100.0,792,53,AllOperatorsNoFKANormalisedWithClassifiers,117,128,mutantTiming,true,431,496,27,2352,3319
