dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,20382,1517,AllOperatorsNoFKANormalisedWithClassifiers,1417,1458,mutantTiming,true,4590,1131781,1662,2285143,3423186
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,2,NA,100.0,21139,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4720,1125592,1713,2305257,3437292
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,3,NA,100.0,21369,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4559,1123822,1696,2297013,3427099
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,4,NA,100.0,21483,1517,AllOperatorsNoFKANormalisedWithClassifiers,1421,1458,mutantTiming,true,4631,1129001,1669,2280625,3415937
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,5,NA,100.0,20397,1517,AllOperatorsNoFKANormalisedWithClassifiers,1411,1458,mutantTiming,true,4744,1132994,1677,2285968,3425393
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,6,NA,100.0,22655,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4640,1124771,1755,2293074,3424250
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,7,NA,100.0,21521,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4838,1138354,1671,2298738,3443611
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,8,NA,100.0,20987,1517,AllOperatorsNoFKANormalisedWithClassifiers,1413,1458,mutantTiming,true,4617,1121620,1674,2274973,3402894
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,9,NA,100.0,21126,1517,AllOperatorsNoFKANormalisedWithClassifiers,1414,1458,mutantTiming,true,4463,1133365,1644,2258615,3398096
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,10,NA,100.0,21446,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4783,1134784,1662,2272849,3414089
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,11,NA,100.0,20675,1517,AllOperatorsNoFKANormalisedWithClassifiers,1417,1458,mutantTiming,true,4552,1126555,1669,2270630,3403415
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,12,NA,100.0,20958,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4515,1137783,1660,2263646,3407613
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,13,NA,100.0,20558,1517,AllOperatorsNoFKANormalisedWithClassifiers,1425,1458,mutantTiming,true,4685,1145422,1684,2288562,3440363
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,14,NA,100.0,20540,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4569,1132985,1781,2322433,3461778
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,15,NA,100.0,20744,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4665,1137788,1727,2283055,3427246
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,16,NA,100.0,20387,1517,AllOperatorsNoFKANormalisedWithClassifiers,1415,1458,mutantTiming,true,4478,1129294,1681,2281180,3416643
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,17,NA,100.0,21961,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4575,1119202,1661,2287748,3413196
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,18,NA,100.0,21715,1517,AllOperatorsNoFKANormalisedWithClassifiers,1413,1458,mutantTiming,true,4779,1134443,1667,2282273,3423172
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,19,NA,100.0,20559,1517,AllOperatorsNoFKANormalisedWithClassifiers,1416,1458,mutantTiming,true,4480,1134296,1682,2305953,3446419
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,20,NA,100.0,20904,1517,AllOperatorsNoFKANormalisedWithClassifiers,1412,1458,mutantTiming,true,4480,1134126,1661,2278014,3418291
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,21,NA,100.0,20829,1517,AllOperatorsNoFKANormalisedWithClassifiers,1415,1458,mutantTiming,true,4337,1130299,1676,2307790,3444112
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,22,NA,100.0,21359,1517,AllOperatorsNoFKANormalisedWithClassifiers,1413,1458,mutantTiming,true,4652,1133172,1667,2288203,3427704
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,23,NA,100.0,20114,1517,AllOperatorsNoFKANormalisedWithClassifiers,1418,1458,mutantTiming,true,4660,1144933,1659,2282713,3433975
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,24,NA,100.0,21073,1517,AllOperatorsNoFKANormalisedWithClassifiers,1412,1458,mutantTiming,true,4587,1120926,1669,2284532,3411725
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,25,NA,100.0,20956,1517,AllOperatorsNoFKANormalisedWithClassifiers,1417,1458,mutantTiming,true,4570,1134793,1682,2275938,3416993
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,26,NA,100.0,21289,1517,AllOperatorsNoFKANormalisedWithClassifiers,1415,1458,mutantTiming,true,4644,1117526,1668,2303521,3427369
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,27,NA,100.0,20584,1517,AllOperatorsNoFKANormalisedWithClassifiers,1424,1458,mutantTiming,true,4660,1131474,1691,2342766,3480603
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,28,NA,100.0,21080,1517,AllOperatorsNoFKANormalisedWithClassifiers,1411,1458,mutantTiming,true,4677,1138479,1679,2280331,3425175
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,29,NA,100.0,22723,1517,AllOperatorsNoFKANormalisedWithClassifiers,1420,1458,mutantTiming,true,4522,1139764,1722,2254523,3400540
SQLite,parsedcasestudy.iTrust,ClauseAICC+AUCC+ANCC,dravm,30,NA,100.0,20696,1517,AllOperatorsNoFKANormalisedWithClassifiers,1419,1458,mutantTiming,true,4509,1128914,1653,2276207,3411293
