dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
SQLite,parsedcasestudy.ArtistSimilarity,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,57,19,AllOperatorsNoFKANormalisedWithClassifiers,12,13,mutantTiming,true,303,61,10,93,475
SQLite,parsedcasestudy.ArtistTerm,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,136,43,AllOperatorsNoFKANormalisedWithClassifiers,26,29,mutantTiming,true,341,116,29,536,1032
SQLite,parsedcasestudy.BankAccount,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,105,37,AllOperatorsNoFKANormalisedWithClassifiers,39,42,mutantTiming,true,336,137,15,447,945
SQLite,parsedcasestudy.BookTown,ClauseAICC+AUCC+ANCC,dravm,1,NA,99.2619926199262,200677,269,AllOperatorsNoFKANormalisedWithClassifiers,220,235,mutantTiming,true,2302,4039,173,35490,42013
SQLite,parsedcasestudy.BrowserCookies,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,517,71,AllOperatorsNoFKANormalisedWithClassifiers,109,114,mutantTiming,true,478,465,28,2251,3232
SQLite,parsedcasestudy.Cloc,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,64,40,AllOperatorsNoFKANormalisedWithClassifiers,30,30,mutantTiming,true,298,75,11,265,658
SQLite,parsedcasestudy.CoffeeOrders,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,224,90,AllOperatorsNoFKANormalisedWithClassifiers,94,101,mutantTiming,true,404,403,40,2908,3767
SQLite,parsedcasestudy.CustomerOrder,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,1557,126,AllOperatorsNoFKANormalisedWithClassifiers,174,183,mutantTiming,true,619,1508,87,9503,11727
SQLite,parsedcasestudy.DellStore,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,327,177,AllOperatorsNoFKANormalisedWithClassifiers,156,156,mutantTiming,true,505,1366,86,8100,10067
SQLite,parsedcasestudy.Employee,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,255,38,AllOperatorsNoFKANormalisedWithClassifiers,42,45,mutantTiming,true,362,123,10,343,847
SQLite,parsedcasestudy.Examination,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,875,107,AllOperatorsNoFKANormalisedWithClassifiers,136,138,mutantTiming,true,546,611,43,4238,5448
SQLite,parsedcasestudy.Flights,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,1037,62,AllOperatorsNoFKANormalisedWithClassifiers,84,84,mutantTiming,true,545,337,32,1644,2568
SQLite,parsedcasestudy.FrenchTowns,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,792,53,AllOperatorsNoFKANormalisedWithClassifiers,117,128,mutantTiming,true,413,460,25,2340,3247
SQLite,parsedcasestudy.Inventory,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,27,18,AllOperatorsNoFKANormalisedWithClassifiers,20,21,mutantTiming,true,282,65,7,96,459
SQLite,parsedcasestudy.Iso3166,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,18,12,AllOperatorsNoFKANormalisedWithClassifiers,10,11,mutantTiming,true,286,47,7,47,398
SQLite,parsedcasestudy.IsoFlav_R2Repaired,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,278,177,AllOperatorsNoFKANormalisedWithClassifiers,216,219,mutantTiming,true,434,1491,52,9902,11889
SQLite,parsedcasestudy.JWhoisServer,ClauseAICC+AUCC+ANCC,dravm,1,NA,100.0,353,158,AllOperatorsNoFKANormalisedWithClassifiers,182,190,mutantTiming,true,534,2063,66,8788,11464
