dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,60999,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,58259,1261096,54917,86017166,87391457
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,61499,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,52167,1261209,54977,82173856,83542230
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,3,NA,100.0,62567,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,61548,1260603,51519,84220727,85594416
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,4,NA,100.0,63258,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,58461,1269713,54773,82219206,83602171
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,5,NA,100.0,58467,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,59187,1265164,49288,83497150,84870856
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,6,NA,100.0,63007,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,50586,1266998,53697,97816357,99187655
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,7,NA,100.0,59537,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,52810,1272082,57106,82291862,83673879
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,8,NA,100.0,60881,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,55358,1269812,54595,106201932,107581714
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,9,NA,100.0,61371,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,61488,1273311,49190,82239312,83623334
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,10,NA,100.0,61555,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,52222,1266030,53239,106073405,107444912
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,11,NA,100.0,61479,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,54842,1265172,50729,82086131,83456889
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,12,NA,100.0,59822,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,55712,1268035,49656,105968641,107342061
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,13,NA,100.0,62881,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,52663,1267783,47518,82156441,83524420
Postgres,iTrust,ClauseAICC+AUCC+ANCC,avsDefaults,14,NA,100.0,60295,1458,AllOperatorsNoFKANormalisedWithClassifiers,1306,1437,mutantTiming,true,54528,1260837,47140,87967435,89329957
